hsmpSn,공급유형,원본행수,세대수_고유값수,세대수_고유값,대표세대수,세대수일관성,주소
30473906,매입임대,2,1,6,6,일치,전남광주통합특별시 북구 송해로4번길 13-4
30473907,매입임대,1,1,12,12,일치,전남광주통합특별시 북구 양산택지로34번길 14
30473908,매입임대,2,1,12,12,일치,전남광주통합특별시 북구 양산택지로51번길 12
30473909,매입임대,2,1,12,12,일치,전남광주통합특별시 북구 양산택지로51번길 10
30473910,매입임대,5,1,12,12,일치,전남광주통합특별시 북구 신촌로 30
30473911,매입임대,4,1,7,7,일치,전남광주통합특별시 북구 하서로466번길 88-3
30473912,매입임대,1,1,12,12,일치,전남광주통합특별시 북구 오문로58번길 9
30473913,매입임대,1,1,12,12,일치,전남광주통합특별시 북구 양산택지로51번길 8
30473914,매입임대,5,1,8,8,일치,전남광주통합특별시 북구 설죽로251번길 85
30473915,매입임대,1,1,2,2,일치,전남광주통합특별시 북구 저불로 21
30473916,매입임대,1,1,12,12,일치,전남광주통합특별시 북구 양산택지로34번길 16
30473917,매입임대,2,1,12,12,일치,전남광주통합특별시 북구 양산택지로51번길 14
30474460,매입임대,2,1,12,12,일치,전남광주통합특별시 서구 월산로225번길 9-10
30474461,매입임대,8,1,18,18,일치,전남광주통합특별시 북구 양산택지로37번길 18
30474462,매입임대,1,1,12,12,일치,전남광주통합특별시 북구 양산택지로51번길 6
30474463,매입임대,4,1,9,9,일치,전남광주통합특별시 북구 오산정길19번길 16
30699397,국민임대,5,1,826,826,일치,전남광주통합특별시 광산구 풍영로330번길 15
30699413,국민임대,1,1,3,3,일치,전남광주통합특별시 북구 상촌로43번길 30
30699437,국민임대,1,1,141,141,일치,전남광주통합특별시 광산구 사암로 24
30699487,국민임대,2,1,496,496,일치,전남광주통합특별시 북구 하서로229번길 57
30699489,국민임대,3,1,901,901,일치,전남광주통합특별시 북구 매곡로 20
30699497,국민임대,6,1,492,492,일치,전남광주통합특별시 북구 연양로7번길 58
30699522,국민임대,2,1,1442,1442,일치,전남광주통합특별시 서구 동천로 25
30699525,국민임대,2,1,861,861,일치,전남광주통합특별시 북구 양산제로 110
30699543,국민임대,4,1,1308,1308,일치,전남광주통합특별시 서구 하남대로710번길 5
30699548,국민임대,2,1,815,815,일치,전남광주통합특별시 북구 유림로160번길 5
30699577,국민임대,4,1,853,853,일치,전남광주통합특별시 남구 효우로60번길 10
