hsmpSn,행수,세대수_고유값수,세대수_고유값,주소_고유값수,주소,공급유형_고유값수,공급유형,대표세대수_후보,세대수일관성
30473593,2,1,20,1,전남광주통합특별시 광산구 월계로 223-17,1,매입임대,20,일치
30473594,7,1,17,1,전남광주통합특별시 동구 증심천로 47,1,매입임대,17,일치
30473595,5,1,10,1,전남광주통합특별시 동구 경양로235번길 10-7,1,매입임대,10,일치
30473902,1,1,4,1,전남광주통합특별시 서구 경열로45번길 13,1,매입임대,4,일치
30473903,1,1,3,1,전남광주통합특별시 서구 화개1로 33,1,매입임대,3,일치
30473904,1,1,1,1,전남광주통합특별시 남구 광복마을3길 7,1,매입임대,1,일치
30473905,1,1,3,1,전남광주통합특별시 남구 서문대로663번안길 2,1,매입임대,3,일치
30473906,2,1,6,1,전남광주통합특별시 북구 송해로4번길 13-4,1,매입임대,6,일치
30473907,1,1,12,1,전남광주통합특별시 북구 양산택지로34번길 14,1,매입임대,12,일치
30473908,2,1,12,1,전남광주통합특별시 북구 양산택지로51번길 12,1,매입임대,12,일치
30473909,2,1,12,1,전남광주통합특별시 북구 양산택지로51번길 10,1,매입임대,12,일치
30473910,5,1,12,1,전남광주통합특별시 북구 신촌로 30,1,매입임대,12,일치
30473911,4,1,7,1,전남광주통합특별시 북구 하서로466번길 88-3,1,매입임대,7,일치
30473912,1,1,12,1,전남광주통합특별시 북구 오문로58번길 9,1,매입임대,12,일치
30473913,1,1,12,1,전남광주통합특별시 북구 양산택지로51번길 8,1,매입임대,12,일치
30473914,5,1,8,1,전남광주통합특별시 북구 설죽로251번길 85,1,매입임대,8,일치
30473915,1,1,2,1,전남광주통합특별시 북구 저불로 21,1,매입임대,2,일치
30473916,1,1,12,1,전남광주통합특별시 북구 양산택지로34번길 16,1,매입임대,12,일치
30473917,2,1,12,1,전남광주통합특별시 북구 양산택지로51번길 14,1,매입임대,12,일치
30474460,2,1,12,1,전남광주통합특별시 서구 월산로225번길 9-10,1,매입임대,12,일치
30474461,8,1,18,1,전남광주통합특별시 북구 양산택지로37번길 18,1,매입임대,18,일치
30474462,1,1,12,1,전남광주통합특별시 북구 양산택지로51번길 6,1,매입임대,12,일치
30474463,4,1,9,1,전남광주통합특별시 북구 오산정길19번길 16,1,매입임대,9,일치
30699397,5,1,826,1,전남광주통합특별시 광산구 풍영로330번길 15,1,국민임대,826,일치
30699413,1,1,3,1,전남광주통합특별시 북구 상촌로43번길 30,1,국민임대,3,일치
30699437,1,1,141,1,전남광주통합특별시 광산구 사암로 24,1,국민임대,141,일치
30699487,2,1,496,1,전남광주통합특별시 북구 하서로229번길 57,1,국민임대,496,일치
30699489,3,1,901,1,전남광주통합특별시 북구 매곡로 20,1,국민임대,901,일치
30699497,6,1,492,1,전남광주통합특별시 북구 연양로7번길 58,1,국민임대,492,일치
30699522,2,1,1442,1,전남광주통합특별시 서구 동천로 25,1,국민임대,1442,일치
30699525,2,1,861,1,전남광주통합특별시 북구 양산제로 110,1,국민임대,861,일치
30699543,4,1,1308,1,전남광주통합특별시 서구 하남대로710번길 5,1,국민임대,1308,일치
30699548,2,1,815,1,전남광주통합특별시 북구 유림로160번길 5,1,국민임대,815,일치
30699577,4,1,853,1,전남광주통합특별시 남구 효우로60번길 10,1,국민임대,853,일치
30699581,5,1,449,1,전남광주통합특별시 남구 효우로60번길 9,1,국민임대,449,일치
30699582,2,1,711,1,전남광주통합특별시 북구 하서로483번길 22,1,국민임대,711,일치
30699662,4,1,244,1,전남광주통합특별시 광산구 송도로182번길 15-11,1,국민임대,244,일치
30699692,3,1,384,1,전남광주통합특별시 남구 효우로60번길 37,1,국민임대,384,일치
30699696,1,1,137,1,전남광주통합특별시 북구 우치로311번길 20,1,국민임대,137,일치
30699699,1,1,70,1,전남광주통합특별시 광산구 남동길30번길 28,1,국민임대,70,일치
30699710,2,1,94,1,전남광주통합특별시 북구 초당로 7,1,국민임대,94,일치
30699740,1,1,183,1,전남광주통합특별시 광산구 송도로182번길 15-12,1,국민임대,183,일치
30699741,1,1,245,1,전남광주통합특별시 서구 내방로418번길 12,1,국민임대,245,일치
30699742,1,1,62,1,전남광주통합특별시 북구 매곡로69번길 22,1,국민임대,62,일치
30699755,1,1,214,1,전남광주통합특별시 광산구 남동길 15,1,국민임대,214,일치
30699799,2,1,10,1,전남광주통합특별시 광산구 송정로 77,1,국민임대,10,일치
30700134,3,1,1872,1,전남광주통합특별시 광산구 월곡산정로 12,1,영구임대,1872,일치
30700135,4,1,1274,1,전남광주통합특별시 북구 중문로 55,1,영구임대,1274,일치
