자치구,행정동,편의점_개수,편의점_최소거리_m,카페_개수,카페_최소거리_m,음식점_개수,음식점_최소거리_m,병원_개수,병원_최소거리_m,대형마트_개수,대형마트_최소거리_m,지하철역_개수,지하철역_최소거리_m,문화시설_개수,문화시설_최소거리_m,학원_개수,학원_최소거리_m,버스정류장_개수,버스정류장_최소거리_m,올리브영_개수,올리브영_최소거리_m,다이소_개수,다이소_최소거리_m,코인노래방_개수,코인노래방_최소거리_m,PC방_개수,PC방_최소거리_m,백화점_개수,백화점_최소거리_m,유니클로_개수,유니클로_최소거리_m,탑텐_개수,탑텐_최소거리_m,추가_H&B/뷰티_개수,추가_H&B/뷰티_최소거리_m,추가_생활쇼핑_개수,추가_생활쇼핑_최소거리_m,추가_SPA패션_개수,추가_SPA패션_최소거리_m,추가_영화/문화_개수,추가_영화/문화_최소거리_m,추가_대형쇼핑_개수,추가_대형쇼핑_최소거리_m,추가_운동_개수,추가_운동_최소거리_m,추가_문화생활_개수,추가_문화생활_최소거리_m,추가_패스트푸드_개수,추가_패스트푸드_최소거리_m,버스정류소_1500m_개수,가장가까운_버스정류소_m,주거비_연결법정동,매매거래건수,매매가격_중앙값_만원,총인구수,20대인구수,30대인구수,2030인구수,2030인구비율,공식조회자치구,전체거래건수,전세거래건수,월세거래건수,전세보증금_평균값_만원,월세보증금_평균값_만원,월세_평균값_만원,전체임대차보증금_평균값_만원,월환산주거비_평균값_만원,전용면적_평균값_m2,전세보증금_중앙값_만원,월세보증금_중앙값_만원,월세_중앙값_만원,월환산주거비_중앙값_만원,아파트거래건수,오피스텔거래건수,연립다세대거래건수,단독다가구거래건수,표본상태,면적기준,평수기준,거래유형기준,행정동매핑기준,분석시작월,분석종료월,보증금환산율,지역,생활인프라점수,2030선호시설점수,교통접근성점수,접근성지수,주거가성비점수,가격_norm,HL_Score,주거표본판정,주거점수사용여부,HL산출유형,HL비교가능성,정책순위포함여부,HL정책비교순위
동구,충장동,50,49.0,392,42.0,1021,13.0,93,84.0,0,,2,305.0,74,159.0,186,71.0,0,,3,30.0,1,126.0,11,58.0,16,47.0,468,130.0,0,,5,48.0,4,136.0,1,289.0,9,46.0,8,72.0,77,48.0,58,178.0,40,101.0,4,298.0,135,80.8,충장로1가|충장로2가|충장로3가|충장로4가|충장로5가|금남로1가|금남로2가|금남로3가|금남로4가|금남로5가|황금동|불로동|호남동|수기동|대인동|궁동|장동,2,16300.0,5883,1666,1234,2900,49.29,동구,622,204,418,10210.81,761.44,45.44,3860.59,46.62,27.68,9700.0,500.0,45.0,44.21,192,424,6,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,동구 충장동,78.3,87.4,87.8,83.6,54.9,0.4514,75.0,정상,True,4개 영역 전체 반영,정상,True,2
동구,계림1동,37,119.0,283,169.0,762,64.0,62,155.0,1,710.0,2,770.0,44,172.0,236,68.0,0,,1,960.0,1,976.0,3,775.0,6,68.0,467,190.0,0,,2,953.0,3,1190.0,3,1204.0,9,1178.0,8,806.0,76,103.0,67,158.0,37,95.0,4,1128.0,149,100.3,계림동,35,39500.0,9708,942,1693,2635,27.14,동구,24,2,22,16000.0,800.0,69.55,2066.67,72.36,37.64,16000.0,1000.0,75.0,79.17,24,0,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,동구 계림1동,67.5,73.1,90.5,74.4,0.0,1.0,52.1,정상,True,4개 영역 전체 반영,정상,True,14
동구,지산2동,28,212.0,172,77.0,424,192.0,63,455.0,0,,1,883.0,11,130.0,66,280.0,0,,1,447.0,0,,4,252.0,16,204.0,0,,0,,0,,1,558.0,0,,0,,0,,5,1140.0,41,125.0,22,492.0,2,1441.0,88,108.6,지산동,2,33750.0,4018,801,331,1132,28.17,동구,39,5,34,5278.0,330.0,33.32,964.36,33.07,34.98,5800.0,200.0,30.0,30.83,9,1,29,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,동구 지산2동,49.5,28.2,61.9,44.6,83.7,0.1626,56.3,정상,True,4개 영역 전체 반영,정상,True,11
동구,학동,28,158.0,141,118.0,451,101.0,97,81.0,0,,2,206.0,19,383.0,73,64.0,0,,1,974.0,1,787.0,3,832.0,11,167.0,2,706.0,0,,0,,3,1264.0,2,743.0,2,1447.0,3,1404.0,20,279.0,50,266.0,28,222.0,4,765.0,104,48.1,학동,7,27500.0,6952,787,852,1639,23.58,동구,50,11,39,11772.73,2812.82,65.26,4784.0,70.83,38.33,6700.0,2000.0,60.0,72.5,31,0,19,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,동구 학동,62.1,58.1,78.5,64.2,3.3,0.9674,45.9,정상,True,4개 영역 전체 반영,정상,True,16
동구,지원1동,11,208.0,49,159.0,162,18.0,28,228.0,2,221.0,2,555.0,5,189.0,50,130.0,1,662.0,0,,1,490.0,2,426.0,2,660.0,1,885.0,0,,0,,0,,1,927.0,0,,0,,4,229.0,21,451.0,5,400.0,1,886.0,50,322.9,소태동|용산동,18,38000.0,8648,793,1077,1870,21.62,동구,33,9,24,6611.11,5488.58,22.75,5794.73,40.69,42.11,6900.0,7004.0,15.0,44.12,29,4,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,동구 지원1동,53.7,24.2,4.6,32.6,67.5,0.325,43.1,정상,True,4개 영역 전체 반영,정상,True,23
서구,치평동,59,71.0,194,47.0,828,4.0,132,117.0,2,99.0,2,672.0,15,119.0,159,58.0,0,,4,222.0,2,96.0,5,58.0,19,5.0,2,436.0,0,,1,96.0,3,457.0,2,723.0,2,551.0,8,749.0,60,313.0,57,355.0,6,443.0,4,574.0,83,63.7,치평동,42,25500.0,28760,4200,4481,8681,30.18,서구,861,113,748,8234.87,531.22,43.45,1542.26,44.17,27.72,8500.0,500.0,42.0,43.25,191,670,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,서구 치평동,81.9,68.0,64.7,73.3,60.1,0.3992,69.3,정상,True,4개 영역 전체 반영,정상,True,3
서구,풍암동,18,139.0,49,112.0,228,100.0,31,141.0,2,200.0,0,,5,451.0,102,138.0,0,,2,189.0,2,188.0,2,223.0,5,157.0,2,636.0,0,,2,630.0,2,267.0,2,278.0,2,950.0,0,,54,436.0,41,47.0,2,66.0,3,136.0,47,266.6,풍암동,31,17600.0,32862,4204,3332,7536,22.93,서구,152,53,99,11587.17,1521.72,47.21,5031.38,51.71,43.14,11000.0,500.0,50.0,52.08,92,60,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,서구 풍암동,47.0,59.5,8.7,43.3,44.0,0.5599,43.5,정상,True,4개 영역 전체 반영,정상,True,21
서구,화정2동,28,103.0,156,83.0,559,109.0,74,224.0,0,,2,566.0,6,437.0,193,132.0,0,,1,876.0,1,885.0,3,318.0,14,253.0,4,902.0,0,,0,,2,797.0,2,734.0,2,1357.0,0,,57,311.0,55,76.0,15,330.0,4,697.0,105,117.3,화정동,42,46400.0,18973,1572,2137,3709,19.55,서구,15,2,13,3250.0,1474.62,34.92,1711.33,37.4,30.2,3250.0,500.0,42.0,42.83,2,0,13,0,보통,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,서구 화정2동,57.1,57.1,70.0,59.9,74.5,0.2549,64.3,저표본 주의,True,4개 영역 전체 반영,저표본 주의,True,5
서구,농성1동,34,157.0,138,147.0,419,112.0,104,143.0,1,462.0,3,326.0,8,278.0,85,110.0,0,,1,494.0,3,465.0,2,293.0,9,479.0,191,371.0,0,,2,465.0,1,765.0,4,732.0,2,732.0,0,,65,217.0,34,8.0,18,404.0,4,626.0,122,81.8,농성동,12,52500.0,11181,1477,1699,3176,28.41,서구,340,86,254,12132.56,891.44,42.34,3734.78,47.19,30.76,12000.0,300.0,35.0,38.25,79,249,12,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,서구 농성1동,67.2,59.8,82.4,67.8,53.6,0.4636,63.6,정상,True,4개 영역 전체 반영,정상,True,6
서구,금호1동,26,176.0,65,76.0,369,69.0,59,70.0,1,235.0,0,,6,663.0,140,114.0,0,,1,669.0,0,,3,520.0,6,166.0,3,457.0,0,,0,,1,369.0,3,1244.0,4,1206.0,0,,5,789.0,46,161.0,3,398.0,1,304.0,65,185.6,금호동,37,22500.0,20816,2189,2521,4710,22.63,서구,137,41,96,11215.0,1466.68,46.24,4384.06,50.67,49.58,11000.0,1000.0,48.0,50.08,135,2,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,202507,202606,0.05,서구 금호1동,50.5,43.1,36.1,44.8,46.2,0.5377,45.2,정상,True,4개 영역 전체 반영,정상,True,18
