자치구,행정동,편의점_개수,편의점_최소거리_m,카페_개수,카페_최소거리_m,음식점_개수,음식점_최소거리_m,병원_개수,병원_최소거리_m,대형마트_개수,대형마트_최소거리_m,지하철역_개수,지하철역_최소거리_m,문화시설_개수,문화시설_최소거리_m,학원_개수,학원_최소거리_m,버스정류장_개수,버스정류장_최소거리_m,올리브영_개수,올리브영_최소거리_m,다이소_개수,다이소_최소거리_m,코인노래방_개수,코인노래방_최소거리_m,PC방_개수,PC방_최소거리_m,백화점_개수,백화점_최소거리_m,유니클로_개수,유니클로_최소거리_m,탑텐_개수,탑텐_최소거리_m,추가_H&B/뷰티_개수,추가_H&B/뷰티_최소거리_m,추가_생활쇼핑_개수,추가_생활쇼핑_최소거리_m,추가_SPA패션_개수,추가_SPA패션_최소거리_m,추가_영화/문화_개수,추가_영화/문화_최소거리_m,추가_대형쇼핑_개수,추가_대형쇼핑_최소거리_m,추가_운동_개수,추가_운동_최소거리_m,추가_문화생활_개수,추가_문화생활_최소거리_m,추가_패스트푸드_개수,추가_패스트푸드_최소거리_m,버스정류소_1500m_개수,가장가까운_버스정류소_m,주거비_연결법정동,전체거래건수,매매거래건수,매매가격_중앙값_만원,전세거래건수,전세보증금_중앙값_만원,월세거래건수,월세보증금_중앙값_만원,월세_중앙값_만원,아파트거래건수,오피스텔거래건수,연립다세대거래건수,단독다가구거래건수,총인구수,20대인구수,30대인구수,2030인구수,2030인구비율
동구,충장동,50,49.0,392,42.0,1021,13.0,93,84.0,0,,2,305.0,74,159.0,186,71.0,0,,3,30.0,1,126.0,11,58.0,16,47.0,468,130.0,0,,5,48.0,4,136.0,1,289.0,9,46.0,8,72.0,77,48.0,58,178.0,40,101.0,4,298.0,135,80.8,충장로1가|충장로2가|충장로3가|충장로4가|충장로5가|금남로1가|금남로2가|금남로3가|금남로4가|금남로5가|황금동|불로동|호남동|수기동|대인동|궁동|장동,43,2,16300.0,12,10650.0,29,500.0,41.0,11,30,1,0,5883,1666,1234,2900,49.29
동구,계림1동,37,119.0,283,169.0,762,64.0,62,155.0,1,710.0,2,770.0,44,172.0,236,68.0,0,,1,960.0,1,976.0,3,775.0,6,68.0,467,190.0,0,,2,953.0,3,1190.0,3,1204.0,9,1178.0,8,806.0,76,103.0,67,158.0,37,95.0,4,1128.0,149,100.3,계림동,81,35,39500.0,33,30000.0,13,5000.0,60.0,77,0,0,0,9708,942,1693,2635,27.14
동구,지산2동,28,212.0,172,77.0,424,192.0,63,455.0,0,,1,883.0,11,130.0,66,280.0,0,,1,447.0,0,,4,252.0,16,204.0,0,,0,,0,,1,558.0,0,,0,,0,,5,1140.0,41,125.0,22,492.0,2,1441.0,88,108.6,지산동,18,2,33750.0,2,7250.0,14,250.0,40.0,5,0,1,0,4018,801,331,1132,28.17
동구,학동,28,158.0,141,118.0,451,101.0,97,81.0,0,,2,206.0,19,383.0,73,64.0,0,,1,974.0,1,787.0,3,832.0,11,167.0,2,706.0,0,,0,,3,1264.0,2,743.0,2,1447.0,3,1404.0,20,279.0,50,266.0,28,222.0,4,765.0,104,48.1,학동,18,7,27500.0,3,20000.0,8,2000.0,32.5,13,0,3,0,6952,787,852,1639,23.58
동구,지원1동,11,208.0,49,159.0,162,18.0,28,228.0,2,221.0,2,555.0,5,189.0,50,130.0,1,662.0,0,,1,490.0,2,426.0,2,660.0,1,885.0,0,,0,,0,,1,927.0,0,,0,,4,229.0,21,451.0,5,400.0,1,886.0,50,322.9,소태동|용산동,37,18,38000.0,9,32500.0,10,5000.0,67.0,36,0,0,0,8648,793,1077,1870,21.62
서구,치평동,59,71.0,194,47.0,828,4.0,132,117.0,2,99.0,2,672.0,15,119.0,159,58.0,0,,4,222.0,2,96.0,5,58.0,19,5.0,2,436.0,0,,1,96.0,3,457.0,2,723.0,2,551.0,8,749.0,60,313.0,57,355.0,6,443.0,4,574.0,83,63.7,치평동,136,42,25500.0,21,16800.0,73,500.0,45.0,75,55,0,0,28760,4200,4481,8681,30.18
서구,풍암동,18,139.0,49,112.0,228,100.0,31,141.0,2,200.0,0,,5,451.0,102,138.0,0,,2,189.0,2,188.0,2,223.0,5,157.0,2,636.0,0,,2,630.0,2,267.0,2,278.0,2,950.0,0,,54,436.0,41,47.0,2,66.0,3,136.0,47,266.6,풍암동,83,31,17600.0,23,14000.0,29,500.0,40.0,61,2,0,0,32862,4204,3332,7536,22.93
서구,화정2동,28,103.0,156,83.0,559,109.0,74,224.0,0,,2,566.0,6,437.0,193,132.0,0,,1,876.0,1,885.0,3,318.0,14,253.0,4,902.0,0,,0,,2,797.0,2,734.0,2,1357.0,0,,57,311.0,55,76.0,15,330.0,4,697.0,105,117.3,화정동,141,42,46400.0,42,16928.0,57,1000.0,45.0,107,6,7,0,18973,1572,2137,3709,19.55
서구,농성1동,34,157.0,138,147.0,419,112.0,104,143.0,1,462.0,3,326.0,8,278.0,85,110.0,0,,1,494.0,3,465.0,2,293.0,9,479.0,191,371.0,0,,2,465.0,1,765.0,4,732.0,2,732.0,0,,65,217.0,34,8.0,18,404.0,4,626.0,122,81.8,농성동,37,12,52500.0,11,18550.0,14,300.0,38.5,22,11,0,0,11181,1477,1699,3176,28.41
서구,금호1동,26,176.0,65,76.0,369,69.0,59,70.0,1,235.0,0,,6,663.0,140,114.0,0,,1,669.0,0,,3,520.0,6,166.0,3,457.0,0,,0,,1,369.0,3,1244.0,4,1206.0,0,,5,789.0,46,161.0,3,398.0,1,304.0,65,185.6,금호동,66,37,22500.0,10,16000.0,19,1000.0,50.0,59,0,0,0,20816,2189,2521,4710,22.63
남구,봉선2동,30,77.0,134,30.0,598,64.0,112,135.0,2,757.0,0,,2,562.0,431,57.0,0,,2,697.0,2,787.0,5,353.0,8,117.0,3,293.0,0,,3,785.0,1,210.0,1,106.0,2,102.0,0,,11,272.0,64,175.0,12,317.0,2,89.0,85,27.2,봉선동,87,37,41500.0,24,27750.0,26,1000.0,42.5,73,5,0,0,27101,2323,2065,4388,16.19
남구,진월동,17,142.0,52,52.0,291,16.0,56,93.0,1,236.0,0,,0,,163,24.0,1,279.0,1,256.0,1,784.0,2,370.0,4,221.0,0,,0,,1,793.0,1,919.0,1,1449.0,1,1495.0,0,,5,1029.0,32,245.0,1,612.0,3,651.0,51,153.4,진월동,43,18,19850.0,5,15000.0,20,1500.0,46.5,35,5,1,0,26794,3242,2366,5608,20.93
남구,방림1동,24,181.0,168,117.0,582,122.0,71,132.0,2,326.0,0,,16,318.0,127,118.0,0,,0,,0,,2,432.0,5,436.0,4,367.0,0,,0,,2,1342.0,2,1046.0,2,1342.0,3,1422.0,23,273.0,78,27.0,21,246.0,5,935.0,124,67.9,방림동,25,8,32750.0,9,24000.0,8,3000.0,45.0,23,0,0,0,6097,558,697,1255,20.58
남구,효덕동,8,435.0,19,194.0,58,292.0,4,708.0,0,,0,,1,677.0,49,161.0,1,942.0,0,,0,,1,761.0,1,843.0,1,508.0,0,,0,,0,,1,492.0,0,,0,,3,315.0,12,3.0,0,,1,546.0,58,104.7,노대동|덕남동|행암동,28,9,22500.0,2,27000.0,17,2751.0,18.0,26,0,0,0,14725,1608,1850,3458,23.48
남구,송암동,10,82.0,27,10.0,89,13.0,15,40.0,0,,0,,1,707.0,47,24.0,0,,0,,1,147.0,1,47.0,1,47.0,1,924.0,0,,0,,0,,1,1042.0,0,,0,,8,333.0,30,771.0,2,427.0,2,1392.0,57,93.2,송하동|임암동,31,18,42900.0,7,30000.0,6,2874.0,29.0,31,0,0,0,20375,1769,3067,4836,23.73
북구,용봉동,41,185.0,165,111.0,607,199.0,29,561.0,2,608.0,0,,13,154.0,90,348.0,0,,2,361.0,1,624.0,12,352.0,28,353.0,2,670.0,0,,0,,4,875.0,4,816.0,1,360.0,3,1012.0,27,88.0,68,298.0,19,69.0,7,581.0,112,101.5,용봉동,64,16,21400.0,9,13000.0,39,200.0,35.0,28,1,1,0,35625,6294,4226,10520,29.53
북구,두암2동,20,163.0,59,22.0,316,21.0,50,194.0,2,396.0,0,,1,289.0,112,90.0,0,,1,536.0,1,391.0,2,80.0,8,22.0,4,195.0,0,,0,,1,1443.0,3,567.0,2,562.0,0,,23,288.0,34,343.0,11,234.0,4,545.0,77,94.1,두암동,38,16,10650.0,8,8000.0,14,500.0,35.0,29,0,0,0,13809,1406,1331,2737,19.82
북구,운암1동,24,129.0,105,96.0,434,94.0,73,125.0,0,,0,,17,107.0,213,117.0,0,,2,773.0,3,564.0,5,651.0,12,691.0,6,379.0,0,,0,,2,532.0,4,420.0,0,,0,,12,365.0,50,32.0,14,408.0,6,440.0,82,333.5,운암동,67,32,23250.0,6,8050.0,29,1000.0,50.0,57,1,1,0,17394,1832,1806,3638,20.92
북구,첨단2동,31,14.0,117,10.0,574,99.0,66,110.0,1,133.0,0,,2,233.0,149,11.0,0,,3,291.0,3,133.0,3,725.0,15,344.0,1,833.0,0,,1,133.0,3,201.0,4,102.0,1,782.0,12,553.0,15,152.0,43,133.0,6,115.0,3,191.0,94,150.8,쌍암동|산월동|월계동,213,43,25800.0,69,17000.0,101,500.0,50.0,149,41,11,0,39916,6348,5960,12308,30.83
북구,문흥1동,16,197.0,50,102.0,263,100.0,29,286.0,1,207.0,0,,1,705.0,122,82.0,0,,1,213.0,1,192.0,2,386.0,6,254.0,4,235.0,0,,0,,3,36.0,2,59.0,2,1150.0,2,976.0,17,154.0,33,84.0,4,86.0,6,186.0,64,70.5,문흥동,51,20,13000.0,12,10515.0,19,300.0,40.0,38,0,0,0,14024,1583,1327,2910,20.75
광산구,첨단1동,46,96.0,163,20.0,801,22.0,73,25.0,2,456.0,0,,5,416.0,195,50.0,0,,3,336.0,4,113.0,3,317.0,16,305.0,3,319.0,0,,1,806.0,3,562.0,4,193.0,1,917.0,12,186.0,15,255.0,43,107.0,6,255.0,3,79.0,90,61.8,월계동,105,16,18500.0,24,12500.0,65,500.0,50.0,77,12,4,0,26648,3781,3899,7680,28.82
