aptNm,aptSeq,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,umdNm,useRRRight,gu_name,lawd_cd,housing_type,transaction_type,query_ym,source_api,offiNm,sggNm,houseType,totalFloorAr,mhouseNm,주소키,위도,경도,검색주소,카카오매칭주소,공식자치구,공식행정동,행정동코드,매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,공식지역,프로젝트지역,중복의심그룹,그룹내행수
아트리뷰스,29110-339,2016,25.08~27.08,신규,14,7,2025,"9,450",32.3909,3,43,0,,,독립로226번길 17,0,00017,00000,4277059,2,12210,12210,수기동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|수기동|43|독립로226번길 17|00017|00000,35.1511524145655,126.909949291548,광주광역시 동구 수기동 43,전남광주통합특별시 동구 독립로226번길 17,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동,77,2
무등산골드클래스,29110-355,2018,25.07~26.07,신규,14,7,2025,"7,004",39.9979,14,1103,15,,,학소로 109,0,00109,00000,3159017,0,12210,12210,소태동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|소태동|1103|학소로 109|00109|00000,35.129424133719,126.931361516544,광주광역시 동구 소태동 1103,전남광주통합특별시 동구 학소로 109,동구,지원1동,1221073000,성공,동구,지원1동,True,동구 지원1동,동구 지원1동,72,2
아트리뷰스,29110-339,2016,25.08~27.08,신규,14,7,2025,"9,450",32.3909,3,43,0,,,독립로226번길 17,0,00017,00000,4277059,2,12210,12210,수기동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|수기동|43|독립로226번길 17|00017|00000,35.1511524145655,126.909949291548,광주광역시 동구 수기동 43,전남광주통합특별시 동구 독립로226번길 17,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동,77,2
무등산골드클래스,29110-355,2018,25.07~26.07,신규,14,7,2025,"7,004",39.9979,14,1103,15,,,학소로 109,0,00109,00000,3159017,0,12210,12210,소태동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|소태동|1103|학소로 109|00109|00000,35.129424133719,126.931361516544,광주광역시 동구 소태동 1103,전남광주통합특별시 동구 학소로 109,동구,지원1동,1221073000,성공,동구,지원1동,True,동구 지원1동,동구 지원1동,72,2
효천엘에이치천년나무7단지,29155-391,2017,25.07~27.08,신규,21,7,2025,"3,050",36.81,7,713,17,,,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,67,2
효천엘에이치천년나무7단지,29155-391,2017,25.07~27.08,신규,21,7,2025,"3,050",36.81,7,713,17,,,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,67,2
벽산블루밍메가씨티3단지,29170-568,2008,25.09~27.09,신규,2,7,2025,"24,000",58.7079,22,69,0,,,북문대로 53,0,00053,00000,2009002,0,12300,12300,운암동,,북구,12300,아파트,전월세,202507,아파트 전월세,,,,,,북구|운암동|69|북문대로 53|00053|00000,35.1747738144985,126.878951074658,광주광역시 북구 운암동 69,전남광주통합특별시 북구 북문대로 53,북구,운암1동,1230060100,성공,북구,운암1동,True,북구 운암1동,북구 운암1동,91,2
벽산블루밍메가씨티3단지,29170-568,2008,25.09~27.09,신규,2,7,2025,"24,000",58.7079,22,69,0,,,북문대로 53,0,00053,00000,2009002,0,12300,12300,운암동,,북구,12300,아파트,전월세,202507,아파트 전월세,,,,,,북구|운암동|69|북문대로 53|00053|00000,35.1747738144985,126.878951074658,광주광역시 북구 운암동 69,전남광주통합특별시 북구 북문대로 53,북구,운암1동,1230060100,성공,북구,운암1동,True,북구 운암1동,북구 운암1동,91,2
고실마을휴먼시아8단지,29200-262,2010,,,22,7,2025,"2,117",39.25,7,1098,12,,,풍영로330번길 15,0,00015,00000,4289682,1,12330,12330,장덕동,,광산구,12330,아파트,전월세,202507,아파트 전월세,,,,,,광산구|장덕동|1098|풍영로330번길 15|00015|00000,35.2015313255941,126.816684307953,광주광역시 광산구 장덕동 1098,전남광주통합특별시 광산구 풍영로330번길 15,광산구,수완동,1233063700,성공,광산구,수완동,True,광산구 수완동,광산구 수완동,55,2
리버힐,29200-36,1992,25.09~27.09,신규,10,7,2025,"7,000",49.86,1,1602-2,0,,,우산로 47,0,00047,00000,3163037,1,12330,12330,우산동,,광산구,12330,아파트,전월세,202507,아파트 전월세,,,,,,광산구|우산동|1602-2|우산로 47|00047|00000,35.1590141808005,126.806285116368,광주광역시 광산구 우산동 1602-2,전남광주통합특별시 광산구 우산로 47,광산구,우산동,1233058000,성공,광산구,우산동,True,광산구 우산동,광산구 우산동,38,2
