aptNm,aptSeq,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,umdNm,useRRRight,gu_name,lawd_cd,housing_type,transaction_type,query_ym,source_api,offiNm,sggNm,houseType,totalFloorAr,mhouseNm,주소키,위도,경도,검색주소,카카오매칭주소,공식자치구,공식행정동,행정동코드,매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,공식지역,프로젝트지역,보증금_만원,월세_만원,전용면적_m2,주소_정규화,공공임대주소일치
농성동유탑유블레스,29140-335,2012,25.08~26.02,신규,14,7,2025,300,19.7906,10,112-1,37,,,경열로45번길 13,0,00013,00000,4280012,1,12240,12240,농성동,,서구,12240,아파트,전월세,202507,아파트 전월세,,,,,,서구|농성동|112-1|경열로45번길 13|00013|00000,35.1522648956668,126.891494681592,광주광역시 서구 농성동 112-1,전남광주통합특별시 서구 경열로45번길 13,서구,농성1동,1224065000,성공,서구,농성1동,True,서구 농성1동,서구 농성1동,300,37,19.7906,서구 경열로45번길 13,True
농성동유탑유블레스,29140-335,2012,25.07~26.07,신규,19,7,2025,300,19.7906,11,112-1,35,,,경열로45번길 13,0,00013,00000,4280012,1,12240,12240,농성동,,서구,12240,아파트,전월세,202507,아파트 전월세,,,,,,서구|농성동|112-1|경열로45번길 13|00013|00000,35.1522648956668,126.891494681592,광주광역시 서구 농성동 112-1,전남광주통합특별시 서구 경열로45번길 13,서구,농성1동,1224065000,성공,서구,농성1동,True,서구 농성1동,서구 농성1동,300,35,19.7906,서구 경열로45번길 13,True
농성동유탑유블레스,29140-335,2012,25.08~26.08,신규,23,7,2025,300,19.7906,11,112-1,35,,,경열로45번길 13,0,00013,00000,4280012,1,12240,12240,농성동,,서구,12240,아파트,전월세,202507,아파트 전월세,,,,,,서구|농성동|112-1|경열로45번길 13|00013|00000,35.1522648956668,126.891494681592,광주광역시 서구 농성동 112-1,전남광주통합특별시 서구 경열로45번길 13,서구,농성1동,1224065000,성공,서구,농성1동,True,서구 농성1동,서구 농성1동,300,35,19.7906,서구 경열로45번길 13,True
농성동유탑유블레스,29140-335,2012,25.08~26.07,신규,11,7,2025,300,19.7906,11,112-1,37,,,경열로45번길 13,0,00013,00000,4280012,1,12240,12240,농성동,,서구,12240,아파트,전월세,202507,아파트 전월세,,,,,,서구|농성동|112-1|경열로45번길 13|00013|00000,35.1522648956668,126.891494681592,광주광역시 서구 농성동 112-1,전남광주통합특별시 서구 경열로45번길 13,서구,농성1동,1224065000,성공,서구,농성1동,True,서구 농성1동,서구 농성1동,300,37,19.7906,서구 경열로45번길 13,True
농성동유탑유블레스,29140-335,2012,25.08~26.07,신규,7,7,2025,300,19.7906,11,112-1,37,,,경열로45번길 13,0,00013,00000,4280012,1,12240,12240,농성동,,서구,12240,아파트,전월세,202507,아파트 전월세,,,,,,서구|농성동|112-1|경열로45번길 13|00013|00000,35.1522648956668,126.891494681592,광주광역시 서구 농성동 112-1,전남광주통합특별시 서구 경열로45번길 13,서구,농성1동,1224065000,성공,서구,농성1동,True,서구 농성1동,서구 농성1동,300,37,19.7906,서구 경열로45번길 13,True
농성동유탑유블레스,29140-335,2012,25.08~26.07,신규,15,7,2025,300,19.7906,9,112-1,35,,,경열로45번길 13,0,00013,00000,4280012,1,12240,12240,농성동,,서구,12240,아파트,전월세,202507,아파트 전월세,,,,,,서구|농성동|112-1|경열로45번길 13|00013|00000,35.1522648956668,126.891494681592,광주광역시 서구 농성동 112-1,전남광주통합특별시 서구 경열로45번길 13,서구,농성1동,1224065000,성공,서구,농성1동,True,서구 농성1동,서구 농성1동,300,35,19.7906,서구 경열로45번길 13,True
농성동유탑유블레스,29140-335,2012,25.07~27.07,갱신,1,7,2025,900,19.6832,2,112-1,35,600,38,경열로45번길 13,0,00013,00000,4280012,1,12240,12240,농성동,,서구,12240,아파트,전월세,202507,아파트 전월세,,,,,,서구|농성동|112-1|경열로45번길 13|00013|00000,35.1522648956668,126.891494681592,광주광역시 서구 농성동 112-1,전남광주통합특별시 서구 경열로45번길 13,서구,농성1동,1224065000,성공,서구,농성1동,True,서구 농성1동,서구 농성1동,900,35,19.6832,서구 경열로45번길 13,True
효천엘에이치천년나무7단지,29155-391,2017,25.08~27.07,갱신,24,7,2025,"3,597",26.54,10,713,7,"2,257",13,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,3597,7,26.54,남구 행암길 9,True
무등산센트럴파크,29155-323,2009,25.10~27.10,갱신,25,7,2025,"20,000",51.85,2,562,0,"20,000",,방림로 31,0,00031,00000,3161004,1,12270,12270,방림동,사용,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|방림동|562|방림로 31|00031|00000,35.1357426094961,126.919915877944,광주광역시 남구 방림동 562,전남광주통합특별시 남구 방림로 31,남구,방림1동,1227052000,성공,남구,방림1동,True,남구 방림1동,남구 방림1동,20000,0,51.85,남구 방림로 31,True
효천엘에이치천년나무7단지,29155-391,2017,25.07~27.08,신규,23,7,2025,"5,029",36.81,5,713,8,,,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,5029,8,36.81,남구 행암길 9,True
