자치구,행정동,버스정류소_1500m_개수,가장가까운_버스정류소_m
동구,충장동,135,80.8
동구,계림1동,149,100.3
동구,지산2동,88,108.6
동구,학동,104,48.1
동구,지원1동,50,322.9
서구,치평동,83,63.7
서구,풍암동,47,266.6
서구,화정2동,105,117.3
서구,농성1동,122,81.8
서구,금호1동,65,185.6
남구,봉선2동,85,27.2
남구,진월동,51,153.4
남구,방림1동,124,67.9
남구,효덕동,58,104.7
남구,송암동,57,93.2
북구,용봉동,112,101.5
북구,두암2동,77,94.1
북구,운암1동,82,333.5
북구,첨단2동,94,150.8
북구,문흥1동,64,70.5
광산구,첨단1동,90,61.8
광산구,수완동,70,46.9
광산구,신가동,48,233.7
광산구,우산동,73,135.6
광산구,송정1동,61,227.1
