hsmpSn,공급유형,대표세대수,원본행수,원본자치구,주소수,주소,전용면적_최소,전용면적_최대,공식자치구,공식행정동,프로젝트자치구,프로젝트행정동,25개동포함여부
1281,매입임대,12.0,2,남구,1,전남광주통합특별시 남구 백운로17번길 19,47.88,49.63,남구,백운2동,남구,백운2동,False
1282,매입임대,12.0,4,남구,1,전남광주통합특별시 남구 진다리로39번길 12,45.3,52.59,남구,백운1동,남구,백운1동,False
1283,매입임대,12.0,3,남구,1,전남광주통합특별시 남구 회재로1224번길 26,56.18,65.48,남구,주월1동,남구,주월1동,False
1284,매입임대,12.0,3,남구,1,전남광주통합특별시 남구 회재로1224번길 24,46.76,65.93,남구,주월1동,남구,주월1동,False
1285,매입임대,9.0,2,남구,1,전남광주통합특별시 남구 대남대로107번길 13-10,45.06,48.0,남구,방림1동,남구,방림1동,True
1286,매입임대,9.0,2,북구,1,전남광주통합특별시 북구 경열로233번길 43,58.5,59.46,북구,중앙동,북구,중앙동,False
1287,매입임대,11.0,5,북구,1,전남광주통합특별시 북구 중가로 33-5,45.0,59.89,북구,중앙동,북구,중앙동,False
1288,매입임대,9.0,3,북구,1,전남광주통합특별시 북구 저불로73번길 22-7,55.17,61.02,북구,용봉동,북구,용봉동,True
1289,매입임대,8.0,4,북구,1,전남광주통합특별시 북구 저불로73번길 22-3,52.06,71.16,북구,용봉동,북구,용봉동,True
1290,매입임대,16.0,2,북구,1,전남광주통합특별시 북구 고운로23번길 3-3,17.14,17.54,북구,용봉동,북구,용봉동,True
1291,매입임대,15.0,8,북구,1,전남광주통합특별시 북구 고운로 19,14.14,29.63,북구,용봉동,북구,용봉동,True
1292,매입임대,1.0,1,북구,1,전남광주통합특별시 북구 서하로 405,84.84,84.84,북구,문흥1동,북구,문흥1동,True
1293,매입임대,12.0,2,북구,1,전남광주통합특별시 북구 동문대로122번길 71,46.12,46.36,북구,두암2동,북구,두암2동,True
1294,매입임대,12.0,2,북구,1,전남광주통합특별시 북구 동문대로122번길 69,44.72,46.26,북구,두암2동,북구,두암2동,True
1295,매입임대,9.0,4,북구,1,전남광주통합특별시 북구 동문대로122번길 71-1,50.85,58.06,북구,두암2동,북구,두암2동,True
1296,매입임대,12.0,2,북구,1,전남광주통합특별시 북구 서방로182번길 48,48.84,49.45,북구,두암1동,북구,두암1동,False
1297,매입임대,11.0,2,북구,1,전남광주통합특별시 북구 오문로58번길 12,47.76,51.45,북구,오치1동,북구,오치1동,False
1298,매입임대,9.0,4,북구,1,전남광주통합특별시 북구 오산정길19번길 18,61.26,70.3,북구,오치1동,북구,오치1동,False
1299,매입임대,12.0,3,북구,1,전남광주통합특별시 북구 서하로257번길 22,43.21,50.2,북구,오치1동,북구,오치1동,False
1300,매입임대,12.0,2,북구,1,전남광주통합특별시 북구 우치로228번길 54-13,48.43,52.65,북구,오치1동,북구,오치1동,False
1301,매입임대,9.0,3,북구,1,전남광주통합특별시 북구 우치로228번길 54-15,49.68,51.11,북구,오치1동,북구,오치1동,False
1302,매입임대,5.0,5,북구,1,전남광주통합특별시 북구 설죽로471번길 65-1,51.72,113.43,북구,삼각동,북구,삼각동,False
1303,매입임대,1.0,1,북구,1,전남광주통합특별시 북구 하백로46번길 9,60.0,60.0,북구,매곡동,북구,매곡동,False
1304,매입임대,18.0,5,북구,1,전남광주통합특별시 북구 일곡마을로124번길 43,26.52,44.91,북구,일곡동,북구,일곡동,False
1323,매입임대,12.0,2,북구,1,전남광주통합특별시 북구 우치로303번길 25-11,48.84,49.45,북구,오치2동,북구,오치2동,False
1324,매입임대,12.0,3,북구,1,전남광주통합특별시 북구 우치로303번길 25-13,46.01,52.31,북구,오치2동,북구,오치2동,False
1325,매입임대,10.0,5,북구,1,전남광주통합특별시 북구 연양로81번길 7-5,23.68,104.48,북구,양산동,북구,양산동,False
1332,매입임대,9.0,5,북구,1,전남광주통합특별시 북구 용두택지로 40,28.95,62.02,북구,건국동,북구,건국동,False
1335,매입임대,11.0,4,광산구,1,전남광주통합특별시 광산구 고내상길65번길 10-8,30.07,34.6,광산구,송정1동,광산구,송정1동,True
1336,매입임대,12.0,2,광산구,1,전남광주통합특별시 광산구 서도산길 70-7,49.92,50.05,광산구,도산동,광산구,도산동,False
1337,매입임대,12.0,3,광산구,1,전남광주통합특별시 광산구 남동길 26-3,49.68,54.33,광산구,도산동,광산구,도산동,False
1338,매입임대,12.0,2,광산구,1,전남광주통합특별시 광산구 서도산길 70-26,49.55,50.4,광산구,도산동,광산구,도산동,False
1339,매입임대,12.0,2,광산구,1,전남광주통합특별시 광산구 서도산길 70-20,36.59,36.6,광산구,도산동,광산구,도산동,False
1340,매입임대,12.0,2,광산구,1,전남광주통합특별시 광산구 서도산길 70-24,49.29,50.4,광산구,도산동,광산구,도산동,False
1341,매입임대,12.0,3,광산구,1,전남광주통합특별시 광산구 사암로130번길 39,50.18,50.25,광산구,우산동,광산구,우산동,True
1342,매입임대,12.0,2,광산구,1,전남광주통합특별시 광산구 사암로118번길 117-5,49.02,58.13,광산구,우산동,광산구,우산동,True
1343,매입임대,13.0,9,광산구,1,전남광주통합특별시 광산구 북문대로419번길 14-11,19.98,30.75,광산구,신창동,광산구,신창동,False
1344,매입임대,14.0,4,광산구,1,전남광주통합특별시 광산구 북문대로419번길 14-9,19.98,28.86,광산구,신창동,광산구,신창동,False
1345,매입임대,8.0,4,광산구,1,전남광주통합특별시 광산구 신창로106번길 23-15,32.96,34.02,광산구,신창동,광산구,신창동,False
1346,매입임대,7.0,4,광산구,1,전남광주통합특별시 광산구 신창로35번길 79-17,41.33,100.75,광산구,신가동,광산구,신가동,True
30473585,매입임대,12.0,1,광산구,1,전남광주통합특별시 광산구 사암로 34,49.83,49.83,광산구,신흥동,광산구,신흥동,False
30473586,매입임대,12.0,4,광산구,1,전남광주통합특별시 광산구 용보로51번길 34,47.7,50.13,광산구,송정1동,광산구,송정1동,True
30473587,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 송도로162번길 11-6,59.95,59.95,광산구,도산동,광산구,도산동,False
30473588,매입임대,12.0,4,광산구,1,전남광주통합특별시 광산구 남동길 19,31.68,48.0,광산구,도산동,광산구,도산동,False
30473589,매입임대,12.0,3,광산구,1,전남광주통합특별시 광산구 월계로16번길 6,23.25,33.81,광산구,첨단2동,북구,첨단2동,True
30473590,매입임대,4.0,3,광산구,1,전남광주통합특별시 광산구 비아로 185,37.83,59.88,광산구,비아동,광산구,비아동,False
30473591,매입임대,5.0,1,광산구,1,전남광주통합특별시 광산구 첨단내촌로 93,59.83,59.83,광산구,첨단2동,북구,첨단2동,True
30473592,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 신창로161번길 34,59.75,59.75,광산구,신창동,광산구,신창동,False
30473593,매입임대,20.0,2,광산구,1,전남광주통합특별시 광산구 월계로 223-17,19.85,19.85,광산구,첨단2동,북구,첨단2동,True
30473594,매입임대,17.0,7,동구,1,전남광주통합특별시 동구 증심천로 47,47.4,65.44,동구,학운동,동구,학운동,False
30473595,매입임대,10.0,5,동구,1,전남광주통합특별시 동구 경양로235번길 10-7,17.16,49.3,동구,계림1동,동구,계림1동,True
30473902,매입임대,4.0,1,서구,1,전남광주통합특별시 서구 경열로45번길 13,19.79,19.79,서구,농성1동,서구,농성1동,True
