시설명,시설유형,기관분류,주소,자치구,출처,출처URL,수집기준,수집일,위도,경도,카카오검색주소,지오코딩상태,좌표보완방식,좌표보완검색어,공식자치구,공식행정동,행정동코드,행정동매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,원본자치구_좌표자치구_일치
월산5동 작은도서관,기타공간,공공,"광주 남구 군분로82번길 14 (월산동, 월산5동 행정복지센터)",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1409104265771,126.892988823442,전남광주통합특별시 남구 군분로82번길 14,성공,,,남구,월산5동,1227064000,성공,남구,월산5동,False,True
월산5동 커뮤니티센터,기타공간,공공,광주 남구 군분로78번길 6 (월산동),남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.140183051946,126.892507289815,전남광주통합특별시 남구 군분로78번길 6,성공,,,남구,월산5동,1227064000,성공,남구,월산5동,False,True
진월작은도서관,기타공간,공공,"광주 남구 서문대로 693 (진월동, 광주광역시남구청소년상담복지센터) 진월작은도서관",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1212035658947,126.898446543729,전남광주통합특별시 남구 서문대로 693,성공,,,남구,진월동,1227070500,성공,남구,진월동,True,True
청년예술인지원센터,기타공간,공공,"광주 남구 사직길 12 (사동, 전남여성회관)",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1424214480975,126.913635315083,전남광주통합특별시 남구 사직길 12,성공,,,남구,사직동,1227054500,성공,남구,사직동,False,True
푸른길도서관,기타공간,공공,광주 남구 금당로 140 (주월동),남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1292035529586,126.895185511651,전남광주통합특별시 남구 금당로 140,성공,,,남구,주월1동,1227069000,성공,남구,주월1동,False,True
효덕동 송화마을 커뮤니티센터,기타공간,공공,광주 남구 노대마을1길 34-15 (노대동),남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1004768587981,126.907974813976,전남광주통합특별시 남구 노대마을1길 34-15,성공,,,남구,효덕동,1227071000,성공,남구,효덕동,True,True
효천어울림도서관,기타공간,공공,"광주 남구 효우로 208 (행암동, 효천복합문화커뮤니티센터)",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1020690387412,126.893758337752,전남광주통합특별시 남구 효우로 208,성공,,,남구,효덕동,1227071000,성공,남구,효덕동,True,True
광주대학교 호심취창업지원단 대학일자리플러스센터,취업지원형,공공,광주 남구 효덕로 277 (진월동) 1층 호심취창업지원단,남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1059030273568,126.896176845497,전남광주통합특별시 남구 효덕로 277,성공,,,남구,진월동,1227070500,성공,남구,진월동,True,True
광주공유센터,통합지원형,공공,광주 남구 화산로 30 (진월동) 진월국제테니스장 지하,남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1115134058968,126.900367540201,전남광주통합특별시 남구 화산로 30,성공,,,남구,진월동,1227070500,성공,남구,진월동,True,True
광주남구생활문화센터,통합지원형,공공,"광주 남구 봉선로 208 (봉선동, 남구종합문화예술회관(남구청소년수련관)) 1층, 남구생활문화센터",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1220342708818,126.917313569562,전남광주통합특별시 남구 봉선로 208,성공,,,남구,봉선2동,1227053800,성공,남구,봉선2동,True,True
남구 청년와락樂,통합지원형,공공,광주 남구 독립로 2 (백운동) 2층,남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1339308864621,126.901913107715,전남광주통합특별시 남구 독립로 2,성공,,,남구,백운2동,1227068000,성공,남구,백운2동,False,True
대촌동 생태작은도서관,통합지원형,공공,"광주 남구 포충로 591 (지석동, 대촌동행정복지센터)",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.0812297138571,126.833726228962,전남광주통합특별시 남구 포충로 591,성공,,,남구,대촌동,1227073000,성공,남구,대촌동,False,True
빛고을시민문화관,통합지원형,공공,광주 남구 천변좌로338번길 7 (구동) 서오층석탑,남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1479055222584,126.907896870694,전남광주통합특별시 남구 천변좌로338번길 7,성공,,,남구,사직동,1227054500,성공,남구,사직동,False,True
사직골 생활문화센터,통합지원형,공공,"광주 남구 천변좌로402번길 3-1 (사동, 사직골생활문화센터) 2층",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1431588517712,126.914269351052,전남광주통합특별시 남구 천변좌로402번길 3-1,성공,,,남구,사직동,1227054500,성공,남구,사직동,False,True
월산4동 수박등마을커뮤니티센터,통합지원형,공공,광주 남구 금화로446번가길 12 (월산동),남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1468655769745,126.892214936477,전남광주통합특별시 남구 금화로446번가길 12,성공,,,남구,월산4동,1227063000,성공,남구,월산4동,False,True
518민주화운동기록관,기타공간,공공,"광주 동구 금남로 221 (금남로3가, 518민주화운동기록관)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1495579107818,126.916760725354,전남광주통합특별시 동구 금남로 221,성공,,,동구,충장동,1221052500,성공,동구,충장동,True,True
계림2동 마을사랑채 활짝마을,기타공간,공공,광주 동구 동계로 68 (계림동) 행정복지센터 4층,동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1579160655267,126.923635572919,전남광주통합특별시 동구 동계로 68,성공,,,동구,계림2동,1221057000,성공,동구,계림2동,False,True
광주이스포츠경기장,기타공간,공공,"광주 동구 조선대5길 31 (서석동, 해오름관)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1408404305096,126.933120368202,전남광주통합특별시 동구 조선대5길 31,성공,,,동구,서남동,1221065500,성공,동구,서남동,False,True
광주인쇄비즈니스센터,기타공간,공공,광주 동구 문화전당로35번길 22 (불로동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1451174171308,126.916720254488,전남광주통합특별시 동구 문화전당로35번길 22,성공,,,동구,서남동,1221065500,성공,동구,서남동,False,True
다복마을도서관,기타공간,공공,광주 동구 밤실로4번길 22 (지산동) 다복마을도서관,동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1483053714668,126.938653686396,전남광주통합특별시 동구 밤실로4번길 22,성공,,,동구,지산2동,1221063000,성공,동구,지산2동,True,True
대안도서관 틔움,기타공간,공공,광주 동구 밤실로136번길 8-21 (산수동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1587497761248,126.936516807195,전남광주통합특별시 동구 밤실로136번길 8-21,성공,,,동구,산수2동,1221060000,성공,동구,산수2동,False,True
동구 인문학당,기타공간,공공,광주 동구 동계천로 168-5 (동명동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1487579258989,126.927670789045,전남광주통합특별시 동구 동계천로 168-5,성공,,,동구,동명동,1221054500,성공,동구,동명동,False,True
동구영상미디어센터,기타공간,공공,"광주 동구 남문로 646 (소태동, 동구문화센터)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1285612917934,126.930945103826,전남광주통합특별시 동구 남문로 646,성공,,,동구,지원1동,1221073000,성공,동구,지원1동,True,True
산수1동 마을사랑채,기타공간,공공,"광주 동구 무등로449번길 5-42 (산수동, 마을사랑채)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1578690896542,126.929872740025,전남광주통합특별시 동구 무등로449번길 5-42,성공,,,동구,산수1동,1221059000,성공,동구,산수1동,False,True
산수2동 마을사랑채 호랑꼬두메복합커뮤니티센터,기타공간,공공,"광주 동구 밤실로 113 (산수동, 꼬두메 복합커뮤니티센터)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.157487644291,126.935234106138,전남광주통합특별시 동구 밤실로 113,성공,,,동구,산수2동,1221060000,성공,동구,산수2동,False,True
산수2동 행정복지센터,기타공간,공공,"광주 동구 필문대로191번길 43-24 (산수동, 산수2동주민센터)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1545624006442,126.93614010567,전남광주통합특별시 동구 필문대로191번길 43-24,성공,,,동구,산수2동,1221060000,성공,동구,산수2동,False,True
여행자의zip,기타공간,공공,광주 동구 동계천로 137-17 (동명동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1499132806943,126.925132052958,전남광주통합특별시 동구 동계천로 137-17,성공,,,동구,동명동,1221054500,성공,동구,동명동,False,True
전일빌딩 디지털정보도서관,기타공간,공공,"광주 동구 금남로 245 (금남로1가, 전일빌딩) 2층",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1483386295361,126.918737425445,전남광주통합특별시 동구 금남로 245,성공,,,동구,충장동,1221052500,성공,동구,충장동,True,True
지산1동 마을사랑채 미로마을,기타공간,공공,광주 동구 지산로 63 (지산동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.149318751192,126.93283567274,전남광주통합특별시 동구 지산로 63,성공,,,동구,지산1동,1221062000,성공,동구,지산1동,False,True
지산2동 마을사랑채,기타공간,공공,"광주 동구 밤실로4번길 16 (지산동, 지산복지회관) 지산복지회관",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.148480932814,126.938429022909,전남광주통합특별시 동구 밤실로4번길 16,성공,,,동구,지산2동,1221063000,성공,동구,지산2동,True,True
지산2동 행정복지센터,기타공간,공공,"광주 동구 지호로 51 (지산동, 지산2동주민센터)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1479663586361,126.934499910459,전남광주통합특별시 동구 지호로 51,성공,,,동구,지산2동,1221063000,성공,동구,지산2동,True,True
지원1동 마을사랑채,기타공간,공공,광주 동구 남문로634번길 1-1 (소태동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1276347587782,126.931544045728,전남광주통합특별시 동구 남문로634번길 1-1,성공,,,동구,지원1동,1221073000,성공,동구,지원1동,True,True
지원2동 마을사랑채 소원마을,기타공간,공공,"광주 동구 화산로337번길 1 (용산동, 용강경로당) 용강경로당",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.119306885205,126.930937884849,전남광주통합특별시 동구 화산로337번길 1,성공,,,동구,지원2동,1221074000,성공,동구,지원2동,False,True
지원2동 작은도서관,기타공간,공공,"광주 동구 화산로 361 (용산동, 지원2동주민센터)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1204838742425,126.932838065986,전남광주통합특별시 동구 화산로 361,성공,,,동구,지원2동,1221074000,성공,동구,지원2동,False,True
책정원도서관,기타공간,공공,광주 동구 남계길 49 (내남동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.0931673515537,126.940520756251,전남광주통합특별시 동구 남계길 49,성공,,,동구,지원2동,1221074000,성공,동구,지원2동,False,True
충장22,기타공간,공공,"광주 동구 충장로22번길 2 (충장로5가, 충장22)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1516851716796,126.910996999173,전남광주통합특별시 동구 충장로22번길 2,성공,,,동구,충장동,1221052500,성공,동구,충장동,True,True
충장동 마을사랑채,기타공간,공공,광주 동구 구성로194번길 20 (금남로4가),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1517692183049,126.915199857824,전남광주통합특별시 동구 구성로194번길 20,성공,,,동구,충장동,1221052500,성공,동구,충장동,True,True
학동 마을사랑채,기타공간,공공,광주 동구 제봉로17번길 18-6 (학동) 1층,동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1393048419535,126.920810525132,전남광주통합특별시 동구 제봉로17번길 18-6,성공,,,동구,학동,1221068500,성공,동구,학동,True,True
학운동 마을사랑채 무꽃동,기타공간,공공,"광주 동구 의재로43번길 6 (학동, 학동무등파크맨션)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1330346402536,126.93297928643,전남광주통합특별시 동구 의재로43번길 6,성공,,,동구,학운동,1221071000,성공,동구,학운동,False,True
학운동 작은도서관,기타공간,공공,"광주 동구 의재로43번길 27-3 (학동, 동구청소년수련관)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1330397502318,126.934745243023,전남광주통합특별시 동구 의재로43번길 27-3,성공,,,동구,학운동,1221071000,성공,동구,학운동,False,True
IPLEX 광주,창업지원형,공공,"광주 동구 동계천로 150 (동명동, I-PLEX 광주)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1482316255341,126.92588806572,전남광주통합특별시 동구 동계천로 150,성공,,,동구,동명동,1221054500,성공,동구,동명동,False,True
동구창업지원센터,창업지원형,공공,"광주 동구 서남로 14 (서석동, 서남동주민센터) 2층",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1449570043663,126.923177895177,전남광주통합특별시 동구 서남로 14,성공,,,동구,서남동,1221065500,성공,동구,서남동,False,True
광주청년일자리스테이션 동명,취업지원형,공공,광주 동구 서석로 89 (대의동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1497995727503,126.920943684266,전남광주통합특별시 동구 서석로 89,성공,,,동구,충장동,1221052500,성공,동구,충장동,True,True
동구평생학습관,취업지원형,공공,"광주 동구 백서로175번길 15 (서석동, 동구 평생학습관)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.144601269393,126.922803479009,전남광주통합특별시 동구 백서로175번길 15,성공,,,동구,서남동,1221065500,성공,동구,서남동,False,True
조선대학교 대학일자리플러스센터,취업지원형,공공,광주 동구 필문대로 308 (서석동) 중앙도서관 1층,동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1444604363879,126.925621423191,전남광주통합특별시 동구 필문대로 308,성공,,,동구,서남동,1221065500,성공,동구,서남동,False,True
광주청년센터,통합지원형,공공,광주 동구 예술길 38 (대의동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1488158874942,126.91952874125,전남광주통합특별시 동구 예술길 38,성공,,,동구,충장동,1221052500,성공,동구,충장동,True,True
동구 청년센터 아지트,통합지원형,공공,광주 동구 중앙로246번길 7-9 (동명동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1532118510229,126.92080166208,전남광주통합특별시 동구 중앙로246번길 7-9,성공,,,동구,동명동,1221054500,성공,동구,동명동,False,True
동구청소년수련관,통합지원형,공공,"광주 동구 의재로43번길 27-3 (학동, 동구청소년수련관)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1330397502318,126.934745243023,전남광주통합특별시 동구 의재로43번길 27-3,성공,,,동구,학운동,1221071000,성공,동구,학운동,False,True
동명동 행정복지센터,통합지원형,공공,"광주 동구 동명로26번길 13 (동명동, 동명동주민센터)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1511627692295,126.925168002418,전남광주통합특별시 동구 동명로26번길 13,성공,,,동구,동명동,1221054500,성공,동구,동명동,False,True
동명청년창작소,통합지원형,공공,광주 동구 중앙로246번길 5 (동명동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1533664822047,126.92046195084,전남광주통합특별시 동구 중앙로246번길 5,성공,,,동구,동명동,1221054500,성공,동구,동명동,False,True
인재육성아카데미,통합지원형,공공,광주 동구 천변우로 335 (수기동),동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1505035064518,126.909440572509,전남광주통합특별시 동구 천변우로 335,성공,,,동구,충장동,1221052500,성공,동구,충장동,True,True
푸른마을공동체센터,통합지원형,공공,"광주 동구 동명로67번길 29 (산수동, 푸른마을공동체센터)",동구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1529779052321,126.925862251529,전남광주통합특별시 동구 동명로67번길 29,성공,,,동구,산수1동,1221059000,성공,동구,산수1동,False,True
건국동 행정복지센터,기타공간,공공,광주 북구 본촌마을길 25 (본촌동),북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2229359594613,126.881646297157,전남광주통합특별시 북구 본촌마을길 25,성공,,,북구,건국동,1230069500,성공,북구,건국동,False,True
동림동 작은도서관,기타공간,공공,"광주 북구 북문대로 236 (동림동, 동림동행정복지센터)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1870531901239,126.866617652498,전남광주통합특별시 북구 북문대로 236,성공,,,북구,동림동,1230061500,성공,북구,동림동,False,True
동림동 행정복지센터,기타공간,공공,"광주 북구 북문대로 236 (동림동, 동림동행정복지센터)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1870531901239,126.866617652498,전남광주통합특별시 북구 북문대로 236,성공,,,북구,동림동,1230061500,성공,북구,동림동,False,True
두암1동 작은도서관,기타공간,공공,"광주 북구 동문대로110번길 77 (두암동, 두암1동주민센터)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1710340757233,126.92896273416,전남광주통합특별시 북구 동문대로110번길 77,성공,,,북구,두암1동,1230066100,성공,북구,두암1동,False,True
두암3동 행정복지센터,기타공간,공공,"광주 북구 삼정로3번길 25 (두암동, 두암3동주민센터)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1630239848388,126.934750280101,전남광주통합특별시 북구 삼정로3번길 25,성공,,,북구,두암3동,1230066300,성공,북구,두암3동,False,True
문흥2동 작은도서관,기타공간,공공,"광주 북구 문산로 25 (문흥동, 문흥2동주민센터)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1843038333131,126.921907725784,전남광주통합특별시 북구 문산로 25,성공,,,북구,문흥2동,1230065700,성공,북구,문흥2동,False,True
문흥2동 행정복지센터,기타공간,공공,"광주 북구 문산로 25 (문흥동, 문흥2동주민센터)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1843038333131,126.921907725784,전남광주통합특별시 북구 문산로 25,성공,,,북구,문흥2동,1230065700,성공,북구,문흥2동,False,True
시립무등도서관,기타공간,공공,"광주 북구 면앙로 130 (우산동, 시립무등도서관)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1765848717992,126.925311797401,전남광주통합특별시 북구 면앙로 130,성공,,,북구,우산동,1230062000,성공,북구,우산동,False,True
신용생활문화센터,기타공간,공공,"광주 북구 첨단연신로107번길 22 (신용동, 신용동행정복지센터)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.207753086871,126.861759575408,전남광주통합특별시 북구 첨단연신로107번길 22,성공,,,북구,신용동,1230069700,성공,북구,신용동,False,True
어울림팩토리,기타공간,공공,광주 북구 자미로6번길 26-1 (신안동),북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1657611455437,126.905270374201,전남광주통합특별시 북구 자미로6번길 26-1,성공,,,북구,신안동,1230058000,성공,북구,신안동,False,True
역전커뮤니티센터,기타공간,공공,광주 북구 무등로 277 (중흥동),북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.163347532778,126.913652933373,전남광주통합특별시 북구 무등로 277,성공,,,북구,중흥1동,1230051000,성공,북구,중흥1동,False,True
오치2동 작은도서관,기타공간,공공,"광주 북구 서하로183번길 29 (오치동, 오치2동주민센터)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1899776148431,126.900429959467,전남광주통합특별시 북구 서하로183번길 29,성공,,,북구,오치2동,1230067700,성공,북구,오치2동,False,True
용봉동 행정복지센터,기타공간,공공,"광주 북구 용주로18번길 28 (용봉동, 용봉동주민센터)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1803692271365,126.901164939533,전남광주통합특별시 북구 용주로18번길 28,성공,,,북구,용봉동,1230059000,성공,북구,용봉동,True,True
우산생활문화센터,기타공간,공공,"광주 북구 서방로68번길 21 (우산동, 우산동 행정복지센터)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1710355356374,126.920025418559,전남광주통합특별시 북구 서방로68번길 21,성공,,,북구,우산동,1230062000,성공,북구,우산동,False,True
운암생활문화센터,기타공간,공공,"광주 북구 북문대로98번길 20 (운암동, 경양초등학교)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.180068637161,126.878755823607,전남광주통합특별시 북구 북문대로98번길 20,성공,,,북구,운암3동,1230060300,성공,북구,운암3동,False,True
일곡생활문화센터,기타공간,공공,광주 북구 설죽로 523 (일곡동),북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2057927140915,126.897347921151,전남광주통합특별시 북구 설죽로 523,성공,,,북구,일곡동,1230066900,성공,북구,일곡동,False,True
임동디지털창작소,기타공간,공공,"광주 북구 무등로 68-5 (임동, 임동디지털창작소)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.168198237811,126.891615560738,전남광주통합특별시 북구 무등로 68-5,성공,,,북구,임동,1230057000,성공,북구,임동,False,True
중흥1동 작은도서관,기타공간,공공,"광주 북구 중흥로183번길 7 (중흥동, 중흥1동주민센터)",북구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1616887592961,126.913775751207,전남광주통합특별시 북구 중흥로183번길 7,성공,,,북구,중흥1동,1230051000,성공,북구,중흥1동,False,True
