"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","전남광주통합특별시 서구 쌍촌동","949-1","0949","0001","코스모스","전세","58.1450","202512","31","5,200","0","4","1981","월드컵4강로181번길 6-7","202601~202801","신규","-","","","연립다세대"
"2","전남광주통합특별시 서구 쌍촌동","949-1","0949","0001","코스모스","전세","58.1450","202512","31","5,200","0","4","1981","월드컵4강로181번길 6-7","-","-","-","","","연립다세대"
"3","전남광주통합특별시 동구 소태동","729-1","0729","0001","(729-1)","전세","77.6340","202512","31","17,674","0","2","2023","의재로88번길 9-2","202601~202712","갱신","-","16,832","0","연립다세대"
"4","전남광주통합특별시 동구 소태동","729-1","0729","0001","(729-1)","전세","72.4809","202512","31","17,153","0","3","2023","의재로88번길 9-2","202601~202712","갱신","-","16,336","0","연립다세대"
"5","전남광주통합특별시 서구 쌍촌동","1005-32","1005","0032","베스트원룸","월세","19.8000","202512","31","300","40","2","2002","상무대로884번길 17-35","202512~202612","신규","-","","","연립다세대"
"6","전남광주통합특별시 동구 소태동","729-1","0729","0001","(729-1)","전세","77.6340","202512","31","17,900","0","2","2023","의재로88번길 9-2","202601~202712","갱신","사용","17,048","0","연립다세대"
"7","전남광주통합특별시 동구 소태동","729-1","0729","0001","(729-1)","전세","72.4809","202512","31","16,719","0","2","2023","의재로88번길 9-2","202512~202803","신규","-","","","연립다세대"
"8","전남광주통합특별시 순천시 가곡동","446","0446","0000","가로수빌샵1","월세","28.8500","202512","31","200","36","2","2016","안신기1길 26","202512~202612","신규","-","","","연립다세대"
"9","전남광주통합특별시 강진군 강진읍 동성리","36-1","0036","0001","동산","월세","51.6800","202512","31","0","83","1","1986","중앙로 198","202601~202612","신규","-","","","연립다세대"
"10","전남광주통합특별시 서구 쌍촌동","527-1","0527","0001","대운파크빌B","월세","32.2000","202512","31","200","45","1","2004","운천로162번길 39-1","202512~202712","신규","-","","","연립다세대"
"11","전남광주통합특별시 동구 소태동","729-1","0729","0001","(729-1)","전세","72.4809","202512","31","16,719","0","2","2023","의재로88번길 9-2","202512~202803","신규","-","","","연립다세대"
"12","전남광주통합특별시 광산구 월계동","892-21","0892","0021","이스토리","월세","26.6000","202512","31","300","50","4","2014","월계로 195-10","202512~202612","신규","-","","","연립다세대"
"13","전남광주통합특별시 장흥군 장흥읍 건산리","683-1","0683","0001","장미주택(B,C)","월세","54.8000","202512","30","300","45","1","1983","북부로 20","202601~202701","신규","-","","","연립다세대"
"14","전남광주통합특별시 해남군 해남읍 구교리","1007","1007","0000","예성구교드림타운","월세","22.3211","202512","30","1,000","50","2","2024","명문길 19-13","202601~202612","신규","-","","","연립다세대"
