"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"53","전남광주통합특별시 목포시 상동","860","0860","0000","목포하당중흥S-클래스센텀뷰","월세","84.8982","202512","31","2,000","130","28","2022","비파로 96","202602~202802","신규","-","","","아파트"
"54","전남광주통합특별시 동구 용산동","662","0662","0000","광주용산지구2BL계룡리슈빌더포레스트아파트","월세","84.9717","202512","31","4,000","120","12","2019","용산1길 2","202601~202801","신규","-","","","아파트"
"55","전남광주통합특별시 목포시 상동","883","0883","0000","동아","월세","59.9700","202512","31","1,000","55","10","1995","신흥로45번길 13","202601~202801","신규","-","","","아파트"
"56","전남광주통합특별시 북구 용봉동","1404-1","1404","0001","트라움시티","월세","17.1207","202512","31","300","37","3","2012","운용로 75","202512~202612","신규","-","","","아파트"
"57","전남광주통합특별시 북구 동림동","26-1","0026","0001","우미2","월세","59.7900","202512","31","9,450","5","11","1991","북문대로201번길 30","202602~202802","신규","-","","","아파트"
"58","전남광주통합특별시 서구 치평동","1166-2","1166","0002","금호대우","전세","59.9400","202512","31","15,000","0","3","1998","치평로 107","202602~202802","신규","-","","","아파트"
"59","전남광주통합특별시 북구 각화동","608","0608","0000","각화센트럴파크서희스타힐스","전세","84.9796","202512","31","28,000","0","10","2020","동문대로249번길 19","202602~202802","신규","-","","","아파트"
"60","전남광주통합특별시 서구 풍암동","1048","1048","0000","중흥호반","월세","59.8800","202512","31","10,000","35","7","2000","풍암순환로 14","202601~202801","신규","-","","","아파트"
"61","전남광주통합특별시 북구 신용동","647","0647","0000","신용주공","월세","36.6300","202512","31","1,806","6","4","2005","연양로7번길 58","202512~202712","신규","-","","","아파트"
"62","전남광주통합특별시 북구 오치동","862-10","0862","0010","대광아파트","전세","28.9800","202512","31","5,400","0","7","1998","설죽로336번길 17","202512~202712","신규","-","","","아파트"
"63","전남광주통합특별시 북구 오치동","861-7","0861","0007","비리치타운","월세","84.9521","202512","31","3,000","80","2","2016","서하로183번길 27","202602~202902","신규","-","","","아파트"
"64","전남광주통합특별시 북구 오치동","872-2","0872","0002","럭키","전세","84.9000","202512","31","13,000","0","9","1991","서하로 184","202602~202802","신규","-","","","아파트"
"65","전남광주통합특별시 북구 각화동","529","0529","0000","무등파크1","월세","59.8500","202512","31","300","40","15","1988","두리봉길 48","202601~202801","신규","-","","","아파트"
"66","전남광주통합특별시 서구 유촌동","871","0871","0000","상무버들마을주공2","전세","59.9200","202512","31","13,000","0","1","1999","상무버들로 15","202602~202802","신규","-","","","아파트"
"67","전남광주통합특별시 서구 농성동","112-1","0112","0001","농성동유탑유블레스","월세","19.7906","202512","31","300","36","8","2012","경열로45번길 13","202601~202612","신규","-","","","아파트"
"68","전남광주통합특별시 북구 용두동","1097","1097","0000","미래하이클래스","전세","59.8757","202512","31","17,000","0","12","2017","하서로483번길 37","202602~202802","신규","-","","","아파트"
"69","전남광주통합특별시 서구 치평동","1166-5","1166","0005","한국","전세","59.9750","202512","31","13,000","0","1","1998","상무시민로 65","202602~202802","신규","-","","","아파트"
"70","전남광주통합특별시 서구 유촌동","871","0871","0000","상무버들마을주공2","전세","59.9200","202512","31","13,000","0","1","1999","상무버들로 15","202602~202802","신규","-","","","아파트"
"71","전남광주통합특별시 서구 화정동","928-2","0928","0002","금호1","전세","134.9400","202512","31","34,650","0","10","1993","염화로57번길 3","202601~202801","신규","-","","","아파트"
"72","전남광주통합특별시 북구 신용동","667","0667","0000","광주첨단1휴먼시아","월세","46.7200","202512","31","651","22","1","2011","첨단연신로 250","202601~202712","갱신","-","2,671","15","아파트"
"73","전남광주통합특별시 서구 화정동","858-2","0858","0002","럭키","전세","52.5600","202512","31","9,500","0","4","1985","염화로40번길 20","202602~202802","신규","-","","","아파트"
"74","전남광주통합특별시 북구 일곡동","849-2","0849","0002","청솔","월세","48.4500","202512","31","500","52","5","2000","일곡로 80","202603~202803","갱신","-","500","50","아파트"
"75","전남광주통합특별시 서구 화정동","23-346","0023","0346","화정아델리움57프레스티지2단지","월세","178.1445","202512","31","30,000","130","6","2025","내방로 361","202601~202801","신규","-","","","아파트"
"76","전남광주통합특별시 서구 화정동","131-4","0131","0004","삼익","전세","59.3300","202512","31","10,000","0","2","1981","죽봉대로 31","202602~202802","갱신","-","8,000","0","아파트"
"77","전남광주통합특별시 서구 화정동","131-4","0131","0004","삼익","전세","59.3300","202512","31","3,350","0","2","1981","죽봉대로 31","202602~202802","갱신","-","1,350","0","아파트"
"78","전남광주통합특별시 북구 문흥동","787-8","0787","0008","주공1","전세","47.0100","202512","31","8,400","0","5","1989","면앙로31번길 7","202601~202801","신규","-","","","아파트"
"79","전남광주통합특별시 북구 문흥동","787-8","0787","0008","주공1","전세","46.6800","202512","31","9,000","0","2","1989","면앙로31번길 7","202601~202801","신규","-","","","아파트"
"80","전남광주통합특별시 북구 우산동","835","0835","0000","무등산자이앤어울림1단지","월세","39.9687","202512","31","1,000","75","20","2025","서양로 155","202601~202612","신규","-","","","아파트"
"81","전남광주통합특별시 서구 화정동","859-1","0859","0001","현대(859-1)","월세","60.0000","202512","31","500","60","13","1987","월드컵4강로 22","202601~202701","신규","-","","","아파트"
"82","전남광주통합특별시 북구 매곡동","290","0290","0000","서광인텔파크","전세","84.8492","202512","31","22,000","0","2","2003","하백로 45","202601~202701","신규","-","","","아파트"
"83","전남광주통합특별시 북구 동림동","26-1","0026","0001","우미2","월세","59.7900","202512","31","9,450","5","16","1991","북문대로201번길 30","202602~202802","신규","-","","","아파트"
"84","전남광주통합특별시 서구 치평동","1330","1330","0000","갤러리303","전세","175.4400","202512","31","55,000","0","14","2010","상무누리로 33","202601~202801","신규","-","","","아파트"
"85","전남광주통합특별시 남구 월산동","110-5","0110","0005","신우","전세","77.6800","202512","31","5,500","0","4","1978","대남대로294번길 7","-","-","-","","","아파트"
"86","전남광주통합특별시 남구 봉선동","1085","1085","0000","봉선3차한국아델리움","월세","84.9056","202512","31","40,000","80","6","2014","제석로80번길 36","202602~202802","신규","-","","","아파트"
"87","전남광주통합특별시 광산구 월곡동","538-2","0538","0002","하남부영","전세","60.0000","202512","31","7,633","0","15","1992","사암로 251","202603~202703","갱신","-","7,596","0","아파트"
"88","전남광주통합특별시 광양시 중동","1416","1416","0000","남양파크","월세","49.7700","202512","31","400","33","12","1993","중마로 210","202601~202801","신규","-","","","아파트"
"89","전남광주통합특별시 남구 행암동","546","0546","0000","브라운스톤효천","월세","84.9400","202512","31","15,348","16","14","2017","효우2로 89","202601~202712","갱신","-","14,617","16","아파트"
"90","전남광주통합특별시 광양시 중동","1416","1416","0000","남양파크","월세","49.7700","202512","31","400","35","2","1993","중마로 210","202601~202801","신규","-","","","아파트"
"91","전남광주통합특별시 광양시 중동","1316-5","1316","0005","노블레스시티","월세","26.3700","202512","31","500","55","9","2014","중동로 75-2","202601~202607","신규","-","","","아파트"
"92","전남광주통합특별시 남구 백운동","686","0686","0000","광주백운3휴먼시아","월세","51.8800","202512","31","3,607","21","6","2011","백운로 100","202601~202712","신규","-","","","아파트"
"93","전남광주통합특별시 남구 백운동","458","0458","0000","대흥백운스카이2","전세","59.8500","202512","31","11,000","0","19","1996","백운로66번길 9","202603~202803","신규","-","","","아파트"
"94","전남광주통합특별시 광양시 마동","1360","1360","0000","광양와우지구중흥S-클래스","전세","84.9908","202512","31","21,500","0","28","2024","눈소10길 16","202603~202802","신규","-","","","아파트"
"95","전남광주통합특별시 광양시 마동","1360","1360","0000","광양와우지구중흥S-클래스","전세","84.9396","202512","31","21,000","0","18","2024","눈소10길 16","202603~202802","신규","-","","","아파트"
"96","전남광주통합특별시 광양시 마동","1360","1360","0000","광양와우지구중흥S-클래스","전세","84.9396","202512","31","21,000","0","18","2024","눈소10길 16","202603~202802","신규","-","","","아파트"
"97","전남광주통합특별시 광양시 마동","1309","1309","0000","광양동문디이스트","월세","84.9681","202512","31","2,000","83","4","2023","눈소10길 58","202601~202801","신규","-","","","아파트"
"98","전남광주통합특별시 광산구 산정동","1023","1023","0000","다사로움1단지","월세","49.9618","202512","31","3,088","18","2","2009","목련로21번길 45","202601~202712","갱신","-","2,998","18","아파트"
"99","전남광주통합특별시 남구 방림동","584","0584","0000","오네뜨하이브","월세","59.5777","202512","31","11,000","38","14","2025","용대로 163","202601~202704","갱신","-","8,000","50","아파트"
"100","전남광주통합특별시 광양시 마동","1159","1159","0000","광양스위트엠르네상스아파트","월세","60.8612","202512","31","500","80","20","2021","눈소4길 37","-","-","-","","","아파트"
"101","전남광주통합특별시 여수시 문수동","450-1","0450","0001","부영9차","월세","49.7200","202512","31","5,101","7","6","1995","여문2로 61","202601~202701","갱신","-","5,101","7","아파트"
"102","전남광주통합특별시 여수시 문수동","480","0480","0000","부영10차","월세","59.7600","202512","31","7,742","8","14","1999","여문2로 62","202601~202701","갱신","-","7,742","8","아파트"
"103","전남광주통합특별시 여수시 여서동","496-1","0496","0001","부영7차","전세","60.0000","202512","31","7,202","0","3","1992","여서로 188","202601~202701","갱신","-","7,202","0","아파트"
"104","전남광주통합특별시 순천시 조례동","1418-1","1418","0001","조례3차골드클래스","전세","84.6003","202512","31","34,500","0","15","2023","봉화1길 83","202602~202712","신규","-","","","아파트"
"105","전남광주통합특별시 순천시 조례동","766","0766","0000","시대","월세","36.3680","202512","31","300","37","9","1995","비봉2길 22","202601~202701","신규","-","","","아파트"
"106","전남광주통합특별시 여수시 국동","1010","1010","0000","국동주공","월세","42.5400","202512","31","100","20","3","1981","신월로 641","202601~202712","신규","-","","","아파트"
"107","전남광주통합특별시 여수시 소호동","423","0423","0000","여수주은금호2,3단지","월세","73.5810","202512","31","300","15","11","2002","소호6길 36","202512~202612","신규","-","","","아파트"
"108","전남광주통합특별시 순천시 저전동","270-2","0270","0002","성진","월세","60.0000","202512","31","500","54","10","1991","상인제길 138-15","202601~202801","신규","-","","","아파트"
"109","전남광주통합특별시 순천시 조례동","766","0766","0000","시대","월세","36.3680","202512","31","1,000","40","13","1995","비봉2길 22","202601~202801","신규","-","","","아파트"
"110","전남광주통합특별시 순천시 조례동","1609","1609","0000","부영8","전세","49.9200","202512","31","7,370","0","8","1997","조례못등길 13","202601~202701","갱신","-","7,370","0","아파트"
"111","전남광주통합특별시 순천시 조례동","1803","1803","0000","왕지아파트","월세","59.7600","202512","31","2,000","55","1","1999","왕궁길 55","202601~202801","신규","-","","","아파트"
"112","전남광주통합특별시 서구 금호동","770-1","0770","0001","호반리젠시빌3차","전세","84.7555","202512","31","20,000","0","1","2001","금화로149번길 11","202601~202801","신규","-","","","아파트"
"113","전남광주통합특별시 순천시 조곡동","759","0759","0000","e편한세상순천어반타워","전세","112.5591","202512","31","36,000","0","22","2023","둑실1길 45","202602~202802","신규","-","","","아파트"
"114","전남광주통합특별시 여수시 봉계동","11","0011","0000","대광오투빌","전세","84.6953","202512","31","8,000","0","9","2002","봉계대곡길 62","202512~202712","신규","-","","","아파트"
"115","전남광주통합특별시 순천시 연향동","1628","1628","0000","호반리젠시빌2차","전세","59.8774","202512","31","11,000","0","4","2002","도장길 50","202603~202803","신규","-","","","아파트"
"116","전남광주통합특별시 순천시 연향동","1384-3","1384","0003","부영1","월세","60.0000","202512","31","6,181","16","4","1992","연향1로 55","202601~202701","갱신","-","6,181","16","아파트"
"117","전남광주통합특별시 여수시 여서동","496-1","0496","0001","부영7차","전세","60.0000","202512","31","7,202","0","10","1993","여서로 188","202601~202701","갱신","-","7,202","0","아파트"
"118","전남광주통합특별시 여수시 관문동","232","0232","0000","여수더로제아델리움해양공원","월세","80.6588","202512","31","5,000","80","3","2025","하멜로 15","202601~202801","신규","-","","","아파트"
"119","전남광주통합특별시 여수시 문수동","450-1","0450","0001","부영9차","월세","49.7200","202512","31","5,341","6","10","1995","여문2로 61","202601~202701","갱신","-","5,341","6","아파트"
"120","전남광주통합특별시 순천시 가곡동","1032-2","1032","0002","참샘마을","월세","51.9300","202512","31","4,860","9","1","2010","고지1길 57","202601~202712","갱신","-","2,960","7","아파트"
"121","전남광주통합특별시 순천시 연향동","1384-3","1384","0003","부영1","전세","60.0000","202512","31","7,786","0","4","1992","연향1로 55","202601~202701","갱신","-","7,786","0","아파트"
"122","전남광주통합특별시 여수시 문수동","450-1","0450","0001","부영9차","월세","49.7200","202512","31","4,663","13","9","1996","여문2로 61","202601~202612","갱신","-","4,663","13","아파트"
"123","전남광주통합특별시 여수시 연등동","845","0845","0000","메트하임여수","월세","40.9200","202512","31","2,400","75","15","2022","좌수영로 101","202602~202702","신규","-","","","아파트"
"124","전남광주통합특별시 여수시 연등동","845","0845","0000","메트하임여수","월세","40.9200","202512","31","2,400","75","15","2022","좌수영로 101","202602~202702","신규","-","","","아파트"
"125","전남광주통합특별시 나주시 빛가람동","551","0551","0000","사랑으로부영2단지","전세","84.9933","202512","31","13,741","0","2","2015","그린로 125","202601~202701","갱신","-","13,565","0","아파트"
"126","전남광주통합특별시 나주시 빛가람동","394","0394","0000","빛가람엘에이치1단지","전세","84.9600","202512","31","17,500","0","11","2015","그린로 63","202602~202803","신규","-","","","아파트"
"127","전남광주통합특별시 나주시 빛가람동","394","0394","0000","빛가람엘에이치1단지","전세","84.9600","202512","31","17,500","0","11","2015","그린로 63","-","-","-","","","아파트"
"128","전남광주통합특별시 나주시 빛가람동","303","0303","0000","사랑으로부영3단지","전세","84.6750","202512","31","14,291","0","16","2017","빛가람로 800","202601~202701","갱신","-","14,108","0","아파트"
"129","전남광주통합특별시 나주시 빛가람동","118","0118","0000","빛가람혁신도시중흥에스-클래스센트럴1차","전세","84.9345","202512","31","23,500","0","13","2016","우정로 77","202601~202801","갱신","-","23,500","0","아파트"
"130","전남광주통합특별시 여수시 웅천동","1835","1835","0000","웅천포레스트부영2단지","전세","84.9480","202512","31","24,590","0","8","2021","여서로 55","202601~202701","갱신","-","24,132","0","아파트"
"131","전남광주통합특별시 여수시 웅천동","1835","1835","0000","웅천포레스트부영2단지","전세","59.9991","202512","31","18,033","0","3","2021","여서로 55","202601~202701","갱신","-","17,697","0","아파트"
"132","전남광주통합특별시 여수시 웅천동","1832","1832","0000","웅천포레스트부영1단지","전세","84.9480","202512","31","24,590","0","18","2021","웅천로 292","202601~202701","갱신","-","24,132","0","아파트"
"133","전남광주통합특별시 여수시 웅천동","1832","1832","0000","웅천포레스트부영1단지","전세","84.9480","202512","31","24,590","0","11","2021","웅천로 292","202601~202701","갱신","-","24,132","0","아파트"
"134","전남광주통합특별시 여수시 웅천동","1832","1832","0000","웅천포레스트부영1단지","전세","59.9991","202512","31","18,033","0","17","2021","웅천로 292","202601~202701","갱신","-","17,697","0","아파트"
"135","전남광주통합특별시 여수시 웅천동","1832","1832","0000","웅천포레스트부영1단지","전세","84.9596","202512","31","24,590","0","15","2021","웅천로 292","202601~202701","갱신","-","24,132","0","아파트"
"136","전남광주통합특별시 여수시 웅천동","1846","1846","0000","여수웅천부영2차","전세","59.9284","202512","31","15,203","0","5","2015","웅천로 261","202601~202701","갱신","-","15,068","0","아파트"
"137","전남광주통합특별시 나주시 빛가람동","303","0303","0000","사랑으로부영3단지","전세","84.9826","202512","31","14,291","0","7","2017","빛가람로 800","202601~202701","갱신","-","14,108","0","아파트"
"138","전남광주통합특별시 나주시 빛가람동","303","0303","0000","사랑으로부영3단지","월세","84.9826","202512","31","10,881","14","15","2017","빛가람로 800","-","-","-","","","아파트"
"139","전남광주통합특별시 나주시 빛가람동","551","0551","0000","사랑으로부영2단지","월세","60.4624","202512","30","7,364","26","11","2015","그린로 125","202601~202701","신규","-","","","아파트"
"140","전남광주통합특별시 여수시 웅천동","1832","1832","0000","웅천포레스트부영1단지","전세","59.9991","202512","30","18,033","0","13","2021","웅천로 292","202601~202701","갱신","-","17,697","0","아파트"
"141","전남광주통합특별시 여수시 웅천동","1832","1832","0000","웅천포레스트부영1단지","전세","59.9991","202512","30","18,033","0","2","2021","웅천로 292","202601~202701","갱신","-","17,697","0","아파트"
