"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","전남광주통합특별시 순천시 서면 선평리","1092","1092","0000","선평빛찬들아파트","월세","46.6500","202512","31","2,860","19","5","2017","선평동선길 36","202601~202712","신규","-","","","아파트"
"2","전남광주통합특별시 순천시 서면 선평리","1092","1092","0000","선평빛찬들아파트","월세","46.6500","202512","31","2,486","25","14","2017","선평동선길 36","202601~202712","갱신","-","2,153","21","아파트"
"3","전남광주통합특별시 여수시 율촌면 월산리","1501-2","1501","0002","율촌2차국제미소래","전세","83.7419","202512","31","26,200","0","15","2024","여순로 1022-139","202601~202801","신규","-","","","아파트"
"4","전남광주통합특별시 화순군 화순읍 만연리","231","0231","0000","부영1","월세","49.7200","202512","31","2,405","16","3","1993","광덕로 170","202601~202701","신규","-","","","아파트"
"5","전남광주통합특별시 순천시 서면 선평리","1092","1092","0000","선평빛찬들아파트","월세","46.6500","202512","31","4,460","11","15","2017","선평동선길 36","202601~202712","갱신","-","4,353","10","아파트"
"6","전남광주통합특별시 무안군 삼향읍 남악리","2100","2100","0000","남악신도시아이파크","월세","84.9100","202512","31","1,000","90","11","2007","남악2로74번길 14","202601~202701","신규","-","","","아파트"
"7","전남광주통합특별시 광양시 광양읍 덕례리","1755-1","1755","0001","대림","월세","60.0000","202512","31","1,000","40","17","1998","대림오성로 11","202602~202802","신규","-","","","아파트"
"8","전남광주통합특별시 무안군 삼향읍 남악리","2314","2314","0000","남악세영리첼","전세","84.8607","202512","31","10,000","0","2","2013","남악4로34번길 31","202512~202712","신규","-","","","아파트"
"9","전남광주통합특별시 무안군 삼향읍 남악리","1578","1578","0000","남악리젠시빌","전세","58.6574","202512","31","12,100","0","1","2006","남악4로60번길 14","202602~202802","신규","-","","","아파트"
"10","전남광주통합특별시 나주시 남평읍 동사리","409","0409","0000","나주남평강변도시양우내안애리버시티1차","월세","84.9860","202512","31","1,000","80","21","2018","강변1길 21-31","202602~202802","신규","-","","","아파트"
"11","전남광주통합특별시 장흥군 장흥읍 건산리","813","0813","0000","미르채아파트","전세","84.8482","202512","31","18,383","0","11","2017","장흥로 76-25","202602~202712","신규","-","","","아파트"
"12","전남광주통합특별시 보성군 보성읍 우산리","631-1","0631","0001","우산주공","전세","49.8500","202512","31","5,500","0","12","1999","중앙로 7","202602~202802","신규","-","","","아파트"
"13","전남광주통합특별시 화순군 화순읍 만연리","237-1","0237","0001","금호타운","전세","84.7450","202512","31","15,000","0","1","1998","광덕로 203","202602~202802","신규","-","","","아파트"
"14","전남광주통합특별시 화순군 화순읍 교리","405","0405","0000","힐스테이트화순","전세","84.6499","202512","31","26,000","0","12","2021","칠충로 141-7","202603~202803","신규","-","","","아파트"
"15","전남광주통합특별시 화순군 화순읍 만연리","243","0243","0000","부영3","월세","49.9200","202512","31","3,732","6","9","1997","광덕로 180","202601~202701","신규","-","","","아파트"
"16","전남광주통합특별시 광산구 신촌동","826-1","0826","0001","대주파크빌","월세","59.7856","202512","31","5,549","15","4","2004","사암로 24","202601~202712","갱신","-","5,356","24","아파트"
"17","전남광주통합특별시 광산구 신창동","1268","1268","0000","신창지구도시공사","월세","49.8700","202512","31","2,345","14","11","2005","왕버들로252번길 46","202601~202712","갱신","사용","2,345","14","아파트"
"18","전남광주통합특별시 광산구 월계동","763-6","0763","0006","호반2차","전세","59.8200","202512","31","9,450","0","1","1997","월계로 59","-","-","-","","","아파트"
"19","전남광주통합특별시 광산구 월계동","893-1","0893","0001","무들에코클래스","월세","19.9836","202512","31","2,000","19","6","2014","임방울대로826번길 60-5","202512~202612","신규","-","","","아파트"
"20","전남광주통합특별시 광산구 월계동","893-1","0893","0001","무들에코클래스","월세","19.9836","202512","31","500","38","5","2014","임방울대로826번길 60-5","202512~202612","신규","-","","","아파트"
"21","전남광주통합특별시 광산구 월계동","765-8","0765","0008","첨단두산2","월세","59.9970","202512","31","500","60","5","1996","월계로 117-22","202603~202803","신규","-","","","아파트"
"22","전남광주통합특별시 광산구 선암동","540","0540","0000","광주선운휴먼시아","월세","59.2400","202512","31","6,532","11","3","2011","선운중앙로 68","202602~202801","갱신","-","4,032","26","아파트"
"23","전남광주통합특별시 광산구 선암동","553","0553","0000","선운리버프라임","월세","66.9600","202512","31","0","85","4","2017","선운로 65","202601~202712","갱신","-","7,000","50","아파트"
"24","전남광주통합특별시 광산구 신가동","1064","1064","0000","아름마을휴먼시아2단지","월세","39.4800","202512","31","2,221","12","13","2009","수등로123번길 22","202601~202712","갱신","-","2,156","12","아파트"
"25","전남광주통합특별시 광산구 우산동","1602-2","1602","0002","리버힐","월세","49.8600","202512","31","1,000","43","15","1992","우산로 47","202601~202801","신규","-","","","아파트"
"26","전남광주통합특별시 광산구 우산동","1571-1","1571","0001","하남주공(2단지)","월세","44.9400","202512","31","6,000","7","12","1991","월곡산정로 12","-","-","-","","","아파트"
"27","전남광주통합특별시 광산구 우산동","1594-2","1594","0002","MaruHiII","월세","20.7468","202512","31","300","35","8","2014","무진대로 278-12","202601~202701","신규","-","","","아파트"
"28","전남광주통합특별시 광산구 선암동","540","0540","0000","광주선운휴먼시아","월세","36.6100","202512","31","1,561","11","5","2011","선운중앙로 68","202601~202712","갱신","-","1,486","11","아파트"
"29","전남광주통합특별시 광산구 우산동","1616","1616","0000","우산동중흥s-클래스리버티","월세","84.9543","202512","31","3,000","100","9","2015","풍영철길로 20-20","202602~202802","신규","-","","","아파트"
"30","전남광주통합특별시 광산구 수완동","913","0913","0000","코오롱하늘채","전세","103.7100","202512","31","47,000","0","13","2008","장덕로137번길 39","202601~202801","신규","-","","","아파트"
"31","전남광주통합특별시 화순군 화순읍 대리","121","0121","0000","대광로제비앙2차","월세","39.3600","202512","31","500","35","12","1998","칠충로 44","202602~202802","신규","-","","","아파트"
"32","전남광주통합특별시 광산구 우산동","1621","1621","0000","세계수영선수촌 중흥에스-클래스 센트럴","월세","59.9323","202512","31","2,000","70","13","2020","금봉로 106","202602~202802","신규","-","","","아파트"
"33","전남광주통합특별시 광산구 산월동","885-1","0885","0001","부영2차","월세","84.7886","202512","31","2,000","90","3","2004","첨단중앙로68번길 22","202602~202802","신규","-","","","아파트"
"34","전남광주통합특별시 광산구 산월동","882-1","0882","0001","부영1차","전세","84.9763","202512","31","22,500","0","3","2003","월계로 170","202601~202801","갱신","-","24,000","0","아파트"
"35","전남광주통합특별시 영광군 영광읍 녹사리","38","0038","0000","영광녹사주공","월세","51.8800","202512","31","500","40","7","2004","천년로 1440-12","202512~202712","신규","-","","","아파트"
"36","전남광주통합특별시 광산구 쌍암동","694-115","0694","0115","한양에드가302동","월세","25.6308","202512","31","500","43","9","2013","월계로 223-17","202601~202701","신규","-","","","아파트"
"37","전남광주통합특별시 광산구 운남동","794-3","0794","0003","운남주공7단지","월세","39.9900","202512","31","500","45","11","2001","목련로153번길 56","202601~202801","신규","-","","","아파트"
"38","전남광주통합특별시 광산구 운남동","794-3","0794","0003","운남주공7단지","전세","49.8300","202512","31","14,000","0","12","2001","목련로153번길 56","202601~202801","신규","-","","","아파트"
"39","전남광주통합특별시 순천시 해룡면 상삼리","657","0657","0000","부영3","전세","60.0000","202512","31","8,082","0","8","1995","기적의도서관길 90","202602~202701","갱신","-","8,082","0","아파트"
"40","전남광주통합특별시 순천시 해룡면 상삼리","694","0694","0000","청솔2","전세","56.4000","202512","31","10,000","0","14","2001","대석길 98","202601~202801","갱신","-","10,000","0","아파트"
"41","전남광주통합특별시 광산구 월계동","758-8","0758","0008","기산","전세","66.2700","202512","31","12,000","0","1","1996","임방울대로 727-6","202602~202802","신규","-","","","아파트"
"42","전남광주통합특별시 광산구 송정동","425-2","0425","0002","라인1","월세","59.8200","202512","31","1,000","50","12","1997","용보로27번길 46","202601~202801","신규","-","","","아파트"
"43","전남광주통합특별시 북구 중흥동","611-10","0611","0010","광주역다사로움","월세","44.8500","202512","31","4,164","22","7","2019","서암대로 268","202603~202802","갱신","-","4,164","22","아파트"
"44","전남광주통합특별시 목포시 연산동","1262","1262","0000","연산주공1단지","월세","37.6700","202512","31","1,113","16","14","1995","원산중앙로 108","202601~202712","갱신","-","1,063","15","아파트"
"45","전남광주통합특별시 목포시 산정동","1836","1836","0000","목포라송센트럴카운티","전세","77.4323","202512","31","15,740","0","2","2016","양을로99번길 8","202603~202703","신규","-","","","아파트"
"46","전남광주통합특별시 목포시 용해동","975","0975","0000","포미타운주공2단지","월세","59.9900","202512","31","3,197","13","1","2004","포미로 22","202602~202801","갱신","-","3,071","12","아파트"
"47","전남광주통합특별시 목포시 옥암동","1027","1027","0000","부영3차","전세","49.7200","202512","31","4,110","0","11","1995","통일대로75번길 14","202601~202701","갱신","-","4,110","0","아파트"
"48","전남광주통합특별시 목포시 옥암동","961","0961","0000","하당금호1","전세","59.5500","202512","31","9,000","0","4","1995","백년대로375번길 32","202602~202802","신규","-","","","아파트"
"49","전남광주통합특별시 목포시 용해동","1032","1032","0000","포미주공타운3단지","월세","36.6300","202512","31","1,837","7","12","2005","관해로5번길 29","202601~202712","갱신","-","1,798","7","아파트"
"50","전남광주통합특별시 목포시 산정동","1836","1836","0000","목포라송센트럴카운티","전세","77.4323","202512","31","15,740","0","2","2016","양을로99번길 8","202603~202703","신규","-","","","아파트"
"51","전남광주통합특별시 목포시 용해동","1054","1054","0000","포미타운엘에이치4단지","월세","36.8000","202512","31","1,070","13","7","2013","용해지구로88번길 24","202601~202712","갱신","-","1,039","13","아파트"
"52","전남광주통합특별시 북구 중흥동","611-10","0611","0010","광주역다사로움","월세","20.7800","202512","31","2,593","5","16","2019","서암대로 268","202603~202802","갱신","-","1,793","9","아파트"
