gu_name,dong_name,lat,lng,category_name,place_count,min_distance_m,collected_at
동구,지원1동,35.1278,126.9295,지하철역,2,555.0,2026-09-04 11:30:46
동구,지원1동,35.1278,126.9295,문화시설,5,189.0,2026-09-04 11:30:46
동구,지원1동,35.1278,126.9295,학원,50,130.0,2026-09-04 11:30:46
동구,지원1동,35.1278,126.9295,버스정류장,1,662.0,2026-09-04 11:30:46
동구,지원1동,35.1278,126.9295,올리브영,0,,2026-09-04 11:30:46
동구,지원1동,35.1278,126.9295,다이소,1,490.0,2026-09-04 11:30:46
동구,지원1동,35.1278,126.9295,코인노래방,2,426.0,2026-09-04 11:30:46
동구,지원1동,35.1278,126.9295,PC방,2,660.0,2026-09-04 11:30:46
동구,지원1동,35.1278,126.9295,백화점,1,885.0,2026-09-04 11:30:46
동구,지원1동,35.1278,126.9295,유니클로,0,,2026-09-04 11:30:46
동구,지원1동,35.1278,126.9295,탑텐,0,,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,편의점,59,71.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,카페,194,47.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,음식점,828,4.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,병원,132,117.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,대형마트,2,99.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,지하철역,2,672.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,문화시설,15,119.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,학원,159,58.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,버스정류장,0,,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,올리브영,4,222.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,다이소,2,96.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,코인노래방,5,58.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,PC방,19,5.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,백화점,2,436.0,2026-09-04 11:30:46
서구,치평동,35.1532,126.8521,유니클로,0,,2026-09-04 11:30:46
