NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,본번,부번,단지명,전용면적(㎡),층,건물명
1,전남광주통합특별시 북구 용봉동,1**,8m미만,35.0,월세,202512,31,200,47,2018.0,면앙로6번길,202601~202701,신규,-,,,단독다가구,,,,,,
3,전남광주통합특별시 무안군 청계면 도림리,2**,8m미만,26.4,월세,202512,31,30,32,2014.0,승달산길,202601~202701,신규,-,,,단독다가구,,,,,,
4,전남광주통합특별시 북구 용봉동,1***,12m미만,22.45,월세,202512,31,200,40,,설죽로214번길,202512~202612,신규,-,,,단독다가구,,,,,,
5,전남광주통합특별시 광산구 월계동,8**,12m미만,19.83,월세,202512,31,200,30,2005.0,산월로41번길,202601~202612,신규,-,,,단독다가구,,,,,,
6,전남광주통합특별시 북구 용봉동,1***,12m미만,22.72,월세,202512,31,300,36,2022.0,저불로70번길,202512~202612,신규,-,,,단독다가구,,,,,,
7,전남광주통합특별시 북구 용봉동,1***,12m미만,21.94,월세,202512,31,300,62,2022.0,용주로30번길,202601~202701,신규,-,,,단독다가구,,,,,,
8,전남광주통합특별시 북구 용봉동,6**,8m미만,15.03,월세,202512,31,200,29,2020.0,설죽로148번길,202601~202701,신규,-,,,단독다가구,,,,,,
9,전남광주통합특별시 광산구 월계동,7**,12m미만,23.59,월세,202512,31,300,53,2022.0,월계로34번길,202601~202701,신규,-,,,단독다가구,,,,,,
10,전남광주통합특별시 순천시 해룡면 신대리,2***,12m미만,23.07,월세,202512,31,0,55,2023.0,송산2길,202601~202701,신규,-,,,단독다가구,,,,,,
11,전남광주통합특별시 무안군 청계면 도림리,2**,8m미만,30.0,월세,202512,31,30,32,2015.0,승달산길,202601~202701,신규,-,,,단독다가구,,,,,,
12,전남광주통합특별시 광산구 신창동,1***,12m미만,32.56,월세,202512,31,200,30,2012.0,신창로106번길,202512~202612,신규,-,,,단독다가구,,,,,,
13,전남광주통합특별시 북구 양산동,9**,12m미만,38.0,월세,202512,31,"1,000",45,2016.0,연양로67번길,202512~202612,신규,-,,,단독다가구,,,,,,
15,전남광주통합특별시 무안군 청계면 도림리,2**,8m미만,26.4,월세,202512,31,30,26,2008.0,승달산길,202601~202612,신규,-,,,단독다가구,,,,,,
17,전남광주통합특별시 무안군 청계면 도림리,4**,8m미만,23.0,월세,202512,31,30,29,2012.0,도림길,202512~202612,신규,-,,,단독다가구,,,,,,
18,전남광주통합특별시 무안군 청계면 도림리,3**,8m미만,26.4,월세,202512,31,30,36,2018.0,도림길,202601~202612,신규,-,,,단독다가구,,,,,,
19,전남광주통합특별시 북구 문흥동,9**,12m미만,39.0,전세,202512,31,"4,000",0,2007.0,서하로355번길,202601~202801,갱신,-,"4,000",0.0,단독다가구,,,,,,
22,전남광주통합특별시 순천시 해룡면 신대리,2***,12m미만,33.71,월세,202512,31,300,55,,송산4길,202512~202605,갱신,-,300,55.0,단독다가구,,,,,,
23,전남광주통합특별시 광산구 흑석동,5**,12m미만,29.75,월세,202512,31,200,45,2016.0,풍영로101번안길,202512~202612,신규,-,,,단독다가구,,,,,,
24,전남광주통합특별시 광산구 장덕동,1***,12m미만,32.64,월세,202512,31,300,29,2012.0,풍영로229번안길,202601~202701,신규,-,,,단독다가구,,,,,,
27,전남광주통합특별시 장성군 남면 삼태리,8**,12m미만,26.26,월세,202512,31,300,54,2024.0,나노산단1로,202601~202701,신규,-,,,단독다가구,,,,,,
28,전남광주통합특별시 광산구 장덕동,1***,12m미만,24.0,월세,202512,31,200,30,2014.0,장신로19번안길,-,-,-,,,단독다가구,,,,,,
30,전남광주통합특별시 동구 서석동,2*,8m미만,20.65,월세,202512,31,500,72,2022.0,백서로189번길,202601~202701,신규,-,,,단독다가구,,,,,,
31,전남광주통합특별시 광산구 신가동,1***,12m미만,25.49,월세,202512,31,200,25,2011.0,신창로33번길,202512~202612,신규,-,,,단독다가구,,,,,,
33,전남광주통합특별시 동구 동명동,1*,8m미만,39.67,월세,202512,31,200,33,2007.0,필문대로,202601~202612,신규,-,,,단독다가구,,,,,,
34,전남광주통합특별시 서구 농성동,6**,12m미만,15.0,전세,202512,31,"6,000",0,2020.0,화정로271번길,-,-,-,,,단독다가구,,,,,,
35,전남광주통합특별시 광산구 하남동,5**,12m미만,39.0,월세,202512,31,300,55,2012.0,하남대로54번안길,202512~202612,신규,-,,,단독다가구,,,,,,
36,전남광주통합특별시 광산구 하남동,1***,12m미만,25.44,월세,202512,31,300,40,,고봉로114번길,202512~202612,신규,-,,,단독다가구,,,,,,
37,전남광주통합특별시 화순군 화순읍 만연리,8*,8m미만,35.0,월세,202512,31,300,50,2015.0,천변좌길,-,-,-,,,단독다가구,,,,,,
38,전남광주통합특별시 동구 지산동,5**,8m미만,26.6,월세,202512,31,300,51,,필문대로273번길,202602~202702,신규,-,,,단독다가구,,,,,,
39,전남광주통합특별시 목포시 옥암동,1***,12m미만,35.51,월세,202512,31,300,40,2020.0,당가두로38번길,202512~202612,신규,-,,,단독다가구,,,,,,
40,전남광주통합특별시 광양시 광양읍 덕례리,1***,8m미만,27.0,월세,202512,31,100,30,2011.0,예구2길,202601~202701,신규,-,,,단독다가구,,,,,,
42,전남광주통합특별시 장흥군 장흥읍 건산리,3**,12m미만,36.0,월세,202512,31,500,45,1994.0,건산로,202512~202612,신규,-,,,단독다가구,,,,,,
43,전남광주통합특별시 서구 쌍촌동,5**,12m미만,29.75,월세,202512,31,300,39,2018.0,운천로162번길,202601~202701,신규,-,,,단독다가구,,,,,,
44,전남광주통합특별시 서구 쌍촌동,9**,8m미만,21.21,월세,202512,31,300,50,2021.0,상무대로967번길,202512~202612,신규,-,,,단독다가구,,,,,,
45,전남광주통합특별시 나주시 빛가람동,8*,12m미만,33.25,월세,202512,31,500,48,2016.0,쌍산3길,202601~202612,갱신,-,300,55.0,단독다가구,,,,,,
47,전남광주통합특별시 순천시 매곡동,4**,12m미만,28.0,월세,202512,31,100,30,2003.0,북정4길,202601~202612,신규,-,,,단독다가구,,,,,,
48,전남광주통합특별시 순천시 매곡동,3**,12m미만,28.0,월세,202512,31,100,35,,북정3길,202602~202701,신규,-,,,단독다가구,,,,,,
50,전남광주통합특별시 순천시 매곡동,4**,8m미만,33.0,월세,202512,31,200,32,2016.0,북정2길,202602~202702,신규,-,,,단독다가구,,,,,,
51,전남광주통합특별시 순천시 매곡동,4*,12m미만,33.0,월세,202512,31,300,50,2019.0,매곡길,202601~202701,신규,-,,,단독다가구,,,,,,
52,전남광주통합특별시 순천시 석현동,2**,12m미만,30.0,월세,202512,31,200,29,2012.0,오리정2길,202512~202702,신규,-,,,단독다가구,,,,,,
54,전남광주통합특별시 서구 내방동,8**,12m미만,30.54,월세,202512,30,300,31,2018.0,월드컵4강로182번길,202512~202612,신규,-,,,단독다가구,,,,,,
55,전남광주통합특별시 순천시 조례동,9**,8m미만,29.88,월세,202512,30,300,47,,조례신대앞길,202512~202612,신규,-,,,단독다가구,,,,,,
56,전남광주통합특별시 서구 쌍촌동,9**,25m이상,28.4,월세,202512,30,200,45,2018.0,월드컵4강로197번길,202601~202612,신규,-,,,단독다가구,,,,,,
57,전남광주통합특별시 서구 쌍촌동,1***,12m미만,22.34,전세,202512,30,"12,000",0,2021.0,운천로184번길,202601~202801,신규,-,,,단독다가구,,,,,,
59,전남광주통합특별시 서구 쌍촌동,9**,8m미만,28.49,월세,202512,30,100,35,2010.0,상무대로876번길,202512~202612,신규,-,,,단독다가구,,,,,,
60,전남광주통합특별시 서구 화정동,1**,12m미만,17.6,월세,202512,30,300,47,2021.0,내방로350번길,202512~202612,신규,-,,,단독다가구,,,,,,
62,전남광주통합특별시 순천시 매곡동,3**,12m미만,23.14,월세,202512,30,100,30,2011.0,북정3길,202512~202612,신규,-,,,단독다가구,,,,,,
63,전남광주통합특별시 순천시 매곡동,3**,25m미만,28.0,월세,202512,30,200,45,1989.0,매산큰길,202512~202612,신규,-,,,단독다가구,,,,,,
64,전남광주통합특별시 서구 쌍촌동,1***,12m미만,30.0,월세,202512,30,200,37,2005.0,상무민주로32번길,202512~202612,신규,-,,,단독다가구,,,,,,
66,전남광주통합특별시 여수시 미평동,3**,12m미만,30.0,월세,202512,30,200,38,2019.0,미평4길,202612~202712,갱신,-,200,38.0,단독다가구,,,,,,
68,전남광주통합특별시 북구 신안동,4**,8m미만,23.86,월세,202512,30,100,28,2010.0,설죽로126번길,202512~202612,신규,-,,,단독다가구,,,,,,
69,전남광주통합특별시 광양시 광양읍 덕례리,1***,8m미만,36.0,월세,202512,30,150,37,2015.0,회암길,202601~202612,신규,-,,,단독다가구,,,,,,
70,전남광주통합특별시 북구 양산동,1***,12m미만,20.0,전세,202512,30,"6,000",0,2017.0,연양로105번길,202601~202801,신규,-,,,단독다가구,,,,,,
71,전남광주통합특별시 북구 운암동,9**,12m미만,19.0,월세,202512,30,200,30,2011.0,서강로66번길,202512~202612,신규,-,,,단독다가구,,,,,,
72,전남광주통합특별시 동구 동명동,1**,8m미만,30.0,월세,202512,30,300,45,2021.0,필문대로263번길,202601~202701,신규,-,,,단독다가구,,,,,,
73,전남광주통합특별시 북구 오치동,9**,8m미만,33.0,전세,202512,30,"2,000",0,2011.0,안산로,202601~202712,신규,-,,,단독다가구,,,,,,
75,전남광주통합특별시 남구 송하동,4**,8m미만,20.74,월세,202512,30,300,37,2020.0,입하1길,202512~202612,신규,-,,,단독다가구,,,,,,
76,전남광주통합특별시 남구 임암동,7**,12m미만,17.48,월세,202512,30,300,48,2021.0,효천안길,202512~202612,신규,-,,,단독다가구,,,,,,
77,전남광주통합특별시 남구 행암동,6**,12m미만,26.52,월세,202512,30,300,43,2016.0,효우로230번길,202512~202612,신규,-,,,단독다가구,,,,,,
78,전남광주통합특별시 순천시 해룡면 신대리,2***,12m미만,22.0,월세,202512,30,200,35,2015.0,매안5길,202601~202701,신규,-,,,단독다가구,,,,,,
79,전남광주통합특별시 광산구 월계동,7**,12m미만,30.54,월세,202512,30,300,29,2013.0,첨단내촌로70번길,202512~202612,신규,-,,,단독다가구,,,,,,
80,전남광주통합특별시 순천시 해룡면 신대리,2***,25m미만,28.0,월세,202512,30,200,35,2017.0,송산2길,202601~202701,갱신,-,200,35.0,단독다가구,,,,,,
81,전남광주통합특별시 강진군 강진읍 동성리,2**,12m미만,27.0,월세,202512,30,500,45,2022.0,중앙로,-,-,-,,,단독다가구,,,,,,
83,전남광주통합특별시 북구 용봉동,6**,8m미만,26.9,월세,202512,30,200,30,2017.0,설죽로,202601~202701,신규,-,,,단독다가구,,,,,,
84,전남광주통합특별시 북구 용봉동,6**,8m미만,23.1,월세,202512,30,200,45,2017.0,설죽로148번길,202601~202701,신규,-,,,단독다가구,,,,,,
85,전남광주통합특별시 북구 용봉동,1***,8m미만,20.0,전세,202512,30,"6,000",0,2018.0,용주로40번길,202512~202712,신규,-,,,단독다가구,,,,,,
86,전남광주통합특별시 북구 용봉동,1***,8m미만,15.3,월세,202512,30,200,30,2020.0,용주로40번길,202601~202701,신규,-,,,단독다가구,,,,,,
87,전남광주통합특별시 북구 용봉동,1**,12m미만,15.0,월세,202512,30,200,38,2011.0,우치로126번길,202601~202701,신규,-,,,단독다가구,,,,,,
88,전남광주통합특별시 광산구 수완동,1***,25m미만,34.5,월세,202512,30,300,40,2013.0,수완로50번길,202601~202701,신규,-,,,단독다가구,,,,,,
89,전남광주통합특별시 동구 지산동,5**,8m미만,27.0,월세,202512,30,200,29,2010.0,필문대로289번길,-,-,-,,,단독다가구,,,,,,
90,전남광주통합특별시 동구 지산동,5**,8m미만,20.0,월세,202512,30,200,40,1994.0,필문대로287번길,202601~202701,신규,-,,,단독다가구,,,,,,
91,전남광주통합특별시 동구 남동,8*,8m미만,27.0,월세,202512,30,300,30,2007.0,제봉로,-,-,-,,,단독다가구,,,,,,
92,전남광주통합특별시 북구 두암동,8**,12m미만,23.14,월세,202512,30,200,29,2014.0,서방로,202512~202612,신규,-,,,단독다가구,,,,,,
93,전남광주통합특별시 남구 월산동,3*,25m미만,40.0,월세,202512,30,200,47,2018.0,구성로78번길,202512~202612,신규,-,,,단독다가구,,,,,,
94,전남광주통합특별시 광산구 하남동,1***,25m미만,25.16,월세,202512,30,300,58,2023.0,마항길,202512~202712,신규,-,,,단독다가구,,,,,,
95,전남광주통합특별시 장흥군 장흥읍 원도리,3**,12m미만,23.14,월세,202512,30,300,38,,문림로,202601~202701,신규,-,,,단독다가구,,,,,,
96,전남광주통합특별시 광산구 신가동,9**,12m미만,22.08,월세,202512,30,200,30,2019.0,목련로397번안길,202512~202612,신규,-,,,단독다가구,,,,,,
97,전남광주통합특별시 광산구 신가동,1***,12m미만,38.0,월세,202512,30,200,40,2007.0,목련로394번길,202601~202612,신규,-,,,단독다가구,,,,,,
99,전남광주통합특별시 북구 신안동,4**,12m미만,40.0,월세,202512,30,300,46,2011.0,설죽로126번길,202601~202701,신규,-,,,단독다가구,,,,,,
100,전남광주통합특별시 동구 운림동,6**,12m미만,23.0,월세,202512,30,300,30,2016.0,의재로136번길,202601~202701,신규,-,,,단독다가구,,,,,,
101,전남광주통합특별시 광산구 선암동,5**,12m미만,36.36,월세,202512,30,300,35,2015.0,선운중앙로67번길,202601~202701,신규,-,,,단독다가구,,,,,,
102,전남광주통합특별시 북구 신용동,8**,12m미만,33.0,월세,202512,30,300,45,2014.0,첨단연신로108번길,202601~202701,신규,-,,,단독다가구,,,,,,
103,전남광주통합특별시 북구 신용동,8**,12m미만,30.0,월세,202512,30,200,46,2013.0,첨단연신로108번길,202601~202701,신규,-,,,단독다가구,,,,,,
104,전남광주통합특별시 북구 문흥동,7**,8m미만,19.5,월세,202512,30,200,40,2022.0,호동로73번길,202601~202701,신규,-,,,단독다가구,,,,,,
107,전남광주통합특별시 무안군 청계면 도림리,5**,8m미만,27.8,월세,202512,30,200,33,,도림길,202512~202612,신규,-,,,단독다가구,,,,,,
108,전남광주통합특별시 광산구 신창동,1***,12m미만,34.54,월세,202512,30,300,45,2009.0,신창로48번길,202512~202612,신규,-,,,단독다가구,,,,,,
109,전남광주통합특별시 광산구 신창동,1***,12m미만,40.0,월세,202512,30,300,50,2010.0,신창로162번길,202601~202701,신규,-,,,단독다가구,,,,,,
111,전남광주통합특별시 순천시 해룡면 신대리,2***,12m미만,29.9,월세,202512,29,300,44,2022.0,매안5길,202601~202701,신규,-,,,단독다가구,,,,,,
112,전남광주통합특별시 광산구 오선동,6**,12m미만,23.95,월세,202512,29,200,33,2020.0,진곡산단2번로,202601~202612,신규,-,,,단독다가구,,,,,,
113,전남광주통합특별시 광산구 흑석동,6**,25m미만,29.31,월세,202512,29,300,55,2022.0,마항길,202601~202701,신규,-,,,단독다가구,,,,,,
114,전남광주통합특별시 순천시 해룡면 상삼리,6**,12m미만,30.0,월세,202512,29,100,30,2011.0,조례못등3길,202512~202712,신규,-,,,단독다가구,,,,,,
118,전남광주통합특별시 북구 양산동,6**,12m미만,30.0,월세,202512,29,300,43,2018.0,상촌로43번길,202512~202612,신규,-,,,단독다가구,,,,,,
119,전남광주통합특별시 동구 지산동,4**,8m미만,25.0,월세,202512,29,300,41,2020.0,필문대로253번길,202512~202612,신규,-,,,단독다가구,,,,,,
120,전남광주통합특별시 무안군 청계면 도림리,4**,12m미만,30.0,월세,202512,29,30,29,2012.0,도림길,202512~202612,신규,-,,,단독다가구,,,,,,
121,전남광주통합특별시 장흥군 장흥읍 건산리,6**,8m미만,26.4,월세,202512,29,500,30,2017.0,동교로,202512~202612,신규,-,,,단독다가구,,,,,,
122,전남광주통합특별시 동구 지산동,4**,8m미만,20.0,월세,202512,29,200,38,2003.0,지산로57번길,202601~202701,신규,-,,,단독다가구,,,,,,
123,전남광주통합특별시 북구 용봉동,6**,8m미만,23.0,월세,202512,29,200,38,2018.0,설죽로148번길,202512~202612,신규,-,,,단독다가구,,,,,,
124,전남광주통합특별시 무안군 청계면 도림리,4**,12m미만,26.4,월세,202512,29,30,30,2018.0,도림길,202602~202612,신규,-,,,단독다가구,,,,,,
125,전남광주통합특별시 북구 용봉동,1**,12m미만,20.0,월세,202512,29,200,30,2012.0,우치로,-,-,-,,,단독다가구,,,,,,
126,전남광주통합특별시 남구 백운동,6**,8m미만,30.0,월세,202512,29,300,52,2023.0,진다리로6번나길,202512~202612,신규,-,,,단독다가구,,,,,,
128,전남광주통합특별시 북구 용봉동,1***,8m미만,26.0,월세,202512,29,200,37,2018.0,반룡로,202601~202701,신규,-,,,단독다가구,,,,,,
129,전남광주통합특별시 북구 용봉동,1***,8m미만,20.0,월세,202512,29,200,37,2017.0,반룡로6번길,202601~202701,신규,-,,,단독다가구,,,,,,
131,전남광주통합특별시 동구 지산동,5**,8m미만,22.0,월세,202512,29,150,29,2009.0,필문대로273번길,202512~202612,신규,-,,,단독다가구,,,,,,
132,전남광주통합특별시 남구 월산동,9**,12m미만,20.72,전세,202512,29,"8,500",0,2020.0,경열로76번길,202601~202801,신규,-,,,단독다가구,,,,,,
133,전남광주통합특별시 동구 지산동,7**,25m미만,17.0,월세,202512,29,50,23,2002.0,밤실로,202512~202612,신규,-,,,단독다가구,,,,,,
134,전남광주통합특별시 광산구 수완동,1***,12m미만,39.0,월세,202512,29,500,50,2016.0,수완로74번길,202512~202612,신규,-,,,단독다가구,,,,,,
135,전남광주통합특별시 광산구 수완동,1***,12m미만,25.65,월세,202512,29,100,28,2012.0,수완로74번길,202512~202612,신규,-,,,단독다가구,,,,,,
136,전남광주통합특별시 동구 지산동,7**,12m미만,19.68,월세,202512,29,200,30,2013.0,지산로85번길,202601~202612,신규,-,,,단독다가구,,,,,,
137,전남광주통합특별시 광산구 하남동,8**,25m이상,29.0,월세,202512,29,500,30,2020.0,손재로,-,-,-,,,단독다가구,,,,,,
138,전남광주통합특별시 영광군 영광읍 녹사리,4*,12m미만,20.46,월세,202512,29,300,35,2019.0,천년로,202512~202612,신규,-,,,단독다가구,,,,,,
141,전남광주통합특별시 동구 서석동,9*,8m미만,25.0,월세,202512,29,200,31,2002.0,백서로167번길,202601~202701,신규,-,,,단독다가구,,,,,,
144,전남광주통합특별시 동구 동명동,1**,25m미만,30.0,월세,202512,29,200,29,2009.0,동명로,202512~202612,신규,-,,,단독다가구,,,,,,
146,전남광주통합특별시 광산구 신창동,1***,12m미만,26.0,월세,202512,29,200,33,2008.0,신창로86번길,202601~202801,신규,-,,,단독다가구,,,,,,
147,전남광주통합특별시 광산구 신창동,1***,12m미만,22.48,전세,202512,29,"3,000",0,2012.0,신창로166번길,202601~202712,신규,-,,,단독다가구,,,,,,
148,전남광주통합특별시 광산구 신가동,1***,25m미만,32.7,전세,202512,29,"6,000",0,2013.0,수완로11번길,202601~202801,신규,-,,,단독다가구,,,,,,
149,전남광주통합특별시 동구 서석동,*,8m미만,15.4,월세,202512,29,300,41,2019.0,백서로,202601~202701,신규,-,,,단독다가구,,,,,,
150,전남광주통합특별시 동구 서석동,9*,8m미만,27.0,월세,202512,29,300,27,2010.0,백서로175번길,202601~202801,신규,-,,,단독다가구,,,,,,
152,전남광주통합특별시 광산구 신창동,1***,12m미만,33.0,월세,202512,29,200,28,2009.0,신창로138번길,202512~202612,신규,-,,,단독다가구,,,,,,
155,전남광주통합특별시 해남군 해남읍 고도리,9*,8m미만,36.3,전세,202512,29,"2,500",0,1986.0,평남3길,202512~202712,갱신,-,"2,000",0.0,단독다가구,,,,,,
156,전남광주통합특별시 광산구 흑석동,7**,12m미만,15.0,전세,202512,29,"3,500",0,2021.0,하남울로공원2길,-,-,-,,,단독다가구,,,,,,
157,전남광주통합특별시 동구 지산동,4**,8m미만,18.0,월세,202512,29,200,29,1994.0,지산로38번길,202601~202701,신규,-,,,단독다가구,,,,,,
158,전남광주통합특별시 무안군 청계면 도림리,4**,12m미만,26.4,월세,202512,29,30,17,1973.0,승달산길,202601~202612,신규,-,,,단독다가구,,,,,,
159,전남광주통합특별시 무안군 청계면 도림리,4**,12m미만,26.4,월세,202512,29,15,30,2014.0,도림길,202601~202612,신규,-,,,단독다가구,,,,,,
160,전남광주통합특별시 무안군 청계면 도림리,2**,8m미만,30.0,월세,202512,29,30,32,2015.0,승달산길,202512~202612,신규,-,,,단독다가구,,,,,,
161,전남광주통합특별시 남구 봉선동,9**,12m미만,26.48,월세,202512,29,500,34,2013.0,봉선로51번길,202512~202612,신규,-,,,단독다가구,,,,,,
162,전남광주통합특별시 목포시 옥암동,1***,12m미만,30.3,월세,202512,29,300,35,2014.0,남악1로52번나길,202512~202612,신규,-,,,단독다가구,,,,,,
163,전남광주통합특별시 광양시 중동,1***,12m미만,20.0,월세,202512,29,100,29,2010.0,중마용소길,202512~202612,신규,-,,,단독다가구,,,,,,
164,전남광주통합특별시 여수시 주삼동,1**,8m미만,18.85,월세,202512,29,200,50,2020.0,봉계1길,202512~202603,신규,-,,,단독다가구,,,,,,
165,전남광주통합특별시 서구 쌍촌동,9**,8m미만,27.14,월세,202512,29,300,46,2019.0,상무대로955번길,202512~202612,신규,-,,,단독다가구,,,,,,
166,전남광주통합특별시 순천시 매곡동,3**,12m미만,23.14,월세,202512,29,100,30,2011.0,북정3길,202512~202612,갱신,-,100,30.0,단독다가구,,,,,,
167,전남광주통합특별시 여수시 학동,2**,12m미만,26.0,월세,202512,29,200,35,2016.0,시청서4길,202601~202701,신규,-,,,단독다가구,,,,,,
168,전남광주통합특별시 여수시 미평동,7**,12m미만,26.45,월세,202512,29,30,25,2004.0,양지1길,202602~202702,신규,-,,,단독다가구,,,,,,
169,전남광주통합특별시 서구 화정동,7**,12m미만,36.0,월세,202512,29,"5,000",20,2015.0,화운로126번길,-,-,-,,,단독다가구,,,,,,
170,전남광주통합특별시 여수시 덕충동,2***,12m미만,33.0,월세,202512,29,200,40,2017.0,박람회길,202601~202607,신규,-,,,단독다가구,,,,,,
172,전남광주통합특별시 순천시 연향동,1***,12m미만,33.0,월세,202512,29,200,30,2011.0,대석2길,202512~202612,신규,-,,,단독다가구,,,,,,
173,전남광주통합특별시 서구 쌍촌동,9**,12m미만,27.42,월세,202512,29,500,71,,상무민주로6번길,202512~202612,신규,-,,,단독다가구,,,,,,
174,전남광주통합특별시 여수시 미평동,3**,12m미만,30.0,전세,202512,29,"3,000",0,,미평10길,202512~202712,신규,-,,,단독다가구,,,,,,
175,전남광주통합특별시 서구 쌍촌동,1***,12m미만,23.25,월세,202512,29,300,55,2023.0,월드컵4강로164번길,202601~202612,신규,-,,,단독다가구,,,,,,
176,전남광주통합특별시 순천시 연향동,1***,12m미만,31.0,월세,202512,29,200,37,2013.0,구암길,202601~202701,신규,-,,,단독다가구,,,,,,
177,전남광주통합특별시 여수시 선원동,1***,25m미만,32.27,월세,202512,28,200,42,2014.0,무선6길,202512~202612,신규,-,,,단독다가구,,,,,,
179,전남광주통합특별시 여수시 신기동,1**,12m미만,33.0,월세,202512,28,200,40,2013.0,신기남3길,202512~202612,신규,-,,,단독다가구,,,,,,
180,전남광주통합특별시 서구 내방동,8**,12m미만,26.46,월세,202512,28,300,43,2018.0,월드컵4강로182번길,202512~202612,신규,-,,,단독다가구,,,,,,
181,전남광주통합특별시 서구 내방동,8**,12m미만,36.0,월세,202512,28,200,45,2017.0,월드컵4강로182번길,202512~202612,신규,-,,,단독다가구,,,,,,
182,전남광주통합특별시 여수시 덕충동,2***,8m미만,39.6,월세,202512,28,300,46,2017.0,박람회길,202512~202612,신규,-,,,단독다가구,,,,,,
183,전남광주통합특별시 여수시 덕충동,1***,12m미만,28.24,월세,202512,28,300,50,2020.0,충민공원길,202601~202612,신규,-,,,단독다가구,,,,,,
184,전남광주통합특별시 서구 동천동,6**,12m미만,21.1,월세,202512,28,200,24,2007.0,동림2지구길,202512~202612,신규,-,,,단독다가구,,,,,,
185,전남광주통합특별시 여수시 미평동,7**,8m미만,39.0,월세,202512,28,100,25,2015.0,양지4길,202512~202612,신규,-,,,단독다가구,,,,,,
187,전남광주통합특별시 동구 계림동,5**,8m미만,39.6,월세,202512,28,300,41,2020.0,무등로321번길,202601~202701,신규,-,,,단독다가구,,,,,,
188,전남광주통합특별시 북구 오치동,9**,25m이상,33.0,전세,202512,28,"8,500",0,2018.0,,202601~202901,신규,-,,,단독다가구,,,,,,
189,전남광주통합특별시 순천시 해룡면 신대리,2***,12m미만,17.78,월세,202512,28,300,45,2021.0,매안2길,202601~202612,신규,-,,,단독다가구,,,,,,
190,전남광주통합특별시 남구 월산동,9**,8m미만,27.25,월세,202512,28,300,36,2023.0,금화로415번길,202512~202612,신규,-,,,단독다가구,,,,,,
191,전남광주통합특별시 광산구 하남동,8**,12m미만,18.72,월세,202512,28,300,42,2020.0,고봉로125번안길,202601~202701,신규,-,,,단독다가구,,,,,,
192,전남광주통합특별시 동구 학동,6**,12m미만,20.0,월세,202512,28,200,36,2014.0,남문로744번길,-,-,-,,,단독다가구,,,,,,
193,전남광주통합특별시 무안군 청계면 도림리,2**,8m미만,26.4,월세,202512,28,30,25,2015.0,승달산길,202512~202606,신규,-,,,단독다가구,,,,,,
194,전남광주통합특별시 북구 중흥동,3**,8m미만,18.0,월세,202512,28,200,36,,용봉로126번길,-,-,-,,,단독다가구,,,,,,
195,전남광주통합특별시 북구 문흥동,7**,8m미만,26.0,월세,202512,28,200,45,2022.0,호동로73번길,202512~202612,신규,-,,,단독다가구,,,,,,
196,전남광주통합특별시 무안군 청계면 도림리,4**,8m미만,27.89,월세,202512,28,30,29,2005.0,도림길,202512~202612,신규,-,,,단독다가구,,,,,,
197,전남광주통합특별시 북구 운암동,8**,8m미만,19.0,월세,202512,28,200,33,2012.0,동운로201번길,-,-,-,,,단독다가구,,,,,,
198,전남광주통합특별시 무안군 삼향읍 남악리,1***,12m미만,25.0,월세,202512,28,300,45,2019.0,남악5로60번길,202512~202612,신규,-,,,단독다가구,,,,,,
199,전남광주통합특별시 북구 용봉동,1***,12m미만,13.0,월세,202512,28,200,30,2018.0,반룡로42번길,-,-,-,,,단독다가구,,,,,,
200,전남광주통합특별시 북구 운암동,8**,8m미만,25.5,월세,202512,28,200,30,2013.0,동운로201번길,202512~202612,신규,-,,,단독다가구,,,,,,
201,전남광주통합특별시 동구 지산동,5**,8m미만,26.6,월세,202512,28,400,51,2020.0,필문대로273번길,202602~202702,신규,-,,,단독다가구,,,,,,
202,전남광주통합특별시 남구 주월동,4**,25m미만,29.7,전세,202512,28,"6,000",0,2015.0,금당로,202601~202701,갱신,-,"6,000",0.0,단독다가구,,,,,,
203,전남광주통합특별시 동구 지산동,5**,8m미만,20.0,월세,202512,28,200,43,2015.0,필문대로289번길,202601~202701,신규,-,,,단독다가구,,,,,,
204,전남광주통합특별시 북구 오치동,9**,25m이상,33.0,전세,202512,28,"8,500",0,2018.0,,202601~202901,신규,-,,,단독다가구,,,,,,
206,전남광주통합특별시 무안군 청계면 도림리,2**,8m미만,30.0,월세,202512,27,30,31,2015.0,승달산길,202512~202612,신규,-,,,단독다가구,,,,,,
207,전남광주통합특별시 장흥군 장흥읍 건산리,2**,12m미만,33.0,월세,202512,27,500,45,2018.0,건산남부길,202601~202701,신규,-,,,단독다가구,,,,,,
209,전남광주통합특별시 무안군 청계면 도림리,2**,8m미만,30.0,월세,202512,27,30,38,2015.0,승달산길,202512~202612,신규,-,,,단독다가구,,,,,,
210,전남광주통합특별시 광산구 수완동,1***,12m미만,30.0,월세,202512,27,200,30,2014.0,수완로10번길,202512~202612,신규,-,,,단독다가구,,,,,,
212,전남광주통합특별시 무안군 청계면 도림리,2**,8m미만,30.0,월세,202512,27,30,31,2015.0,승달산길,202512~202612,신규,-,,,단독다가구,,,,,,
