"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"29","전남광주통합특별시 진도군 진도읍 성내리","22-16","0022","0016","대영빌라(9,10동)","월세","33.6000","202412","27","3,500","20","4","2017","성내길 30","202412~202512","신규","-","","","연립다세대"
"30","전남광주통합특별시 북구 오치동","946-4","0946","0004","삼익빌라","월세","22.4300","202412","27","1,700","20","1","2002","우치로275번길 47","-","-","-","","","연립다세대"
"31","전남광주통합특별시 장흥군 장흥읍 건산리","683","0683","0000","장미주택(A)","월세","54.8000","202412","26","500","30","3","1983","북부로 20","202501~202701","신규","-","","","연립다세대"
"32","전남광주통합특별시 순천시 조례동","787-2","0787","0002","타운하우스지뜨","전세","79.0800","202412","26","25,000","0","3","2017","비봉2길 58","202502~202702","신규","-","","","연립다세대"
"33","전남광주통합특별시 순천시 조례동","787-2","0787","0002","타운하우스지뜨","전세","79.0800","202412","26","25,000","0","3","2017","비봉2길 58","202502~202702","신규","-","","","연립다세대"
"34","전남광주통합특별시 영광군 영광읍 백학리","392","0392","0000","세진더이룸센트럴파크","월세","84.9357","202412","26","3,000","70","1","2021","천년로13길 75","202502~202702","신규","-","","","연립다세대"
"35","전남광주통합특별시 북구 운암동","876-7","0876","0007","운암아이미소102동","월세","50.4709","202412","26","1,500","50","4","2013","동운로213번길 21-1","202412~202612","신규","-","","","연립다세대"
"36","전남광주통합특별시 동구 지산동","719-12","0719","0012","에이스빌라","월세","16.4300","202412","26","200","33","3","2006","지산로85번길 16-11","202412~202512","신규","-","","","연립다세대"
"37","전남광주통합특별시 북구 일곡동","553","0553","0000","아뜨리움이에스101동","월세","67.1718","202412","26","10,000","50","3","2016","일곡마을로 126","202501~202701","신규","-","","","연립다세대"
"38","전남광주통합특별시 동구 소태동","729-1","0729","0001","(729-1)","전세","77.6340","202412","26","17,372","0","4","2023","의재로88번길 9-2","202412~202703","신규","-","","","연립다세대"
"39","전남광주통합특별시 동구 지산동","459-1","0459","0001","조은힐스","월세","19.6000","202412","26","200","27","1","2004","지산로38번길 11","202501~202601","신규","-","","","연립다세대"
"40","전남광주통합특별시 동구 소태동","729-1","0729","0001","(729-1)","전세","77.6340","202412","26","17,372","0","5","2023","의재로88번길 9-2","202412~202703","신규","-","","","연립다세대"
"41","전남광주통합특별시 광양시 금호동","717","0717","0000","목련연립","월세","54.2700","202412","26","300","38","1","1988","폭포사랑길 91","202412~202512","신규","-","","","연립다세대"
"42","전남광주통합특별시 동구 학동","29-10","0029","0010","대성하이빌","전세","24.2400","202412","26","2,800","0","4","2001","남문로 768-6","202412~202612","신규","-","","","연립다세대"
"43","전남광주통합특별시 여수시 주삼동","1027","1027","0000","파인빌리지","전세","46.3500","202412","25","13,000","0","1","2020","주삼덕양로 189","202501~202701","신규","-","","","연립다세대"
"44","전남광주통합특별시 여수시 미평동","669-14","0669","0014","명품빌","월세","21.0800","202412","24","100","30","3","2013","미평3길 54","202502~202701","신규","-","","","연립다세대"
"45","전남광주통합특별시 영암군 영암읍 서남리","125","0125","0000","우진레디앙스","월세","59.9710","202412","24","500","50","4","2020","농암로 36","202412~202512","신규","-","","","연립다세대"
"46","전남광주통합특별시 광양시 금호동","624-5","0624","0005","백합(624-5)","월세","69.0900","202412","24","500","50","2","1989","금호로 63","202501~202512","신규","-","","","연립다세대"
"47","전남광주통합특별시 남구 월산동","1009-1","1009","0001","제일1","월세","44.5200","202412","24","200","30","4","1980","군분로89번길 1","202412~202512","신규","-","","","연립다세대"
"48","전남광주통합특별시 장흥군 장흥읍 건산리","568","0568","0000","세원포레스트","월세","64.7000","202412","24","1,000","55","2","2015","장흥로 101","202501~202512","신규","-","","","연립다세대"
"49","전남광주통합특별시 북구 용봉동","1210-11","1210","0011","인아트빌","월세","18.2721","202412","23","200","29","4","2013","용주로30번길 55-8","202412~202512","신규","-","","","연립다세대"
"50","전남광주통합특별시 광산구 소촌동","290","0290","0000","라인1차","전세","59.8700","202412","23","7,000","0","3","1994","소촌로152번길 38","202502~202702","신규","-","","","연립다세대"
"51","전남광주통합특별시 광산구 소촌동","290","0290","0000","라인1차","전세","49.9000","202412","23","8,000","0","4","1995","소촌로152번길 38","202501~202701","신규","-","","","연립다세대"
"52","전남광주통합특별시 남구 백운동","620-7","0620","0007","프라임로하스","전세","42.0679","202412","23","9,600","0","3","2014","독립로 32-1","202501~202701","신규","-","","","연립다세대"
"53","전남광주통합특별시 여수시 화장동","764-8","0764","0008","금성하이빌","월세","20.1500","202412","23","70","26","1","2001","성산6길 31","202412~202512","신규","-","","","연립다세대"
"54","전남광주통합특별시 광양시 금호동","717","0717","0000","목련연립","전세","55.7100","202412","23","5,000","0","3","1988","폭포사랑길 91","202501~202701","신규","-","","","연립다세대"
"55","전남광주통합특별시 북구 양산동","283-47","0283","0047","연진주택","월세","58.2000","202412","23","500","35","3","1984","연양로34번길 3","202502~202702","신규","-","","","연립다세대"
"56","전남광주통합특별시 장흥군 장흥읍 우산리","148","0148","0000","솔향푸름애","전세","25.6490","202412","22","3,500","0","4","2014","우드랜드길 100-15","202501~202701","신규","-","","","연립다세대"
"57","전남광주통합특별시 광산구 쌍암동","668-11","0668","0011","STUDIO23","월세","18.7000","202412","22","300","39","3","2016","첨단중앙로152번길 6-23","202412~202506","신규","-","","","연립다세대"
"58","전남광주통합특별시 광산구 쌍암동","694-134","0694","0134","금강빌라","월세","18.8100","202412","22","300","40","5","2013","임방울대로826번길 19-39","202412~202508","신규","-","","","연립다세대"
"59","전남광주통합특별시 동구 서석동","94-6","0094","0006","플러스","월세","25.9900","202412","21","500","50","3","2015","백서로167번길 6-1","202412~202512","신규","-","","","연립다세대"
"60","전남광주통합특별시 광양시 금호동","717","0717","0000","목련연립","월세","55.7100","202412","21","300","40","3","1988","폭포사랑길 91","202412~202512","신규","-","","","연립다세대"
"61","전남광주통합특별시 광양시 금호동","624-1","0624","0001","백합(624-1)","월세","55.3100","202412","21","300","40","2","1988","금호로 41","202412~202512","신규","-","","","연립다세대"
"62","전남광주통합특별시 서구 쌍촌동","807-19","0807","0019","(807-19)형제빌라","월세","80.1400","202412","21","7,000","20","4","2006","유림로46번길 10-1","-","-","-","","","연립다세대"
"63","전남광주통합특별시 순천시 가곡동","446","0446","0000","가로수빌샵1","월세","25.9250","202412","21","150","39","4","2016","안신기1길 26","202412~202512","신규","-","","","연립다세대"
"64","전남광주통합특별시 서구 화정동","756-37","0756","0037","에스팰리스","월세","24.3200","202412","21","1,000","40","3","2016","화운로99번길 19","202412~202612","신규","-","","","연립다세대"
"65","전남광주통합특별시 서구 화정동","765-1","0765","0001","더브이테라스","전세","59.9337","202412","20","17,895","0","2","2018","화운로126번길 7-6","202502~202609","갱신","사용","17,806","0","연립다세대"
"66","전남광주통합특별시 서구 화정동","765-1","0765","0001","더브이테라스","전세","59.9337","202412","20","18,328","0","2","2018","화운로126번길 7-6","202501~202609","신규","-","","","연립다세대"
"67","전남광주통합특별시 광산구 쌍암동","668-11","0668","0011","STUDIO23","월세","18.7000","202412","20","300","39","5","2016","첨단중앙로152번길 6-23","202412~202512","신규","-","","","연립다세대"
"68","전남광주통합특별시 서구 쌍촌동","531-1","0531","0001","가도스타디움(2차)","월세","16.9685","202412","20","200","32","4","2014","화정로49번길 38","202412~202512","신규","-","","","연립다세대"
"69","전남광주통합특별시 서구 쌍촌동","525","0525","0000","위드힐타운","월세","44.3000","202412","20","2,500","58","4","2015","운천로162번길 43","202412~202512","신규","-","","","연립다세대"
"70","전남광주통합특별시 여수시 미평동","896-8","0896","0008","더숲(원룸)","월세","15.2250","202412","20","50","30","4","2013","양지6길 29-10","202412~202512","신규","-","","","연립다세대"
"71","전남광주통합특별시 함평군 함평읍 내교리","121","0121","0000","백년가Ⅱ","월세","66.5437","202412","20","500","60","3","2020","교광길 29","202412~202612","신규","-","","","연립다세대"
"72","전남광주통합특별시 광산구 수완동","1853","1853","0000","수완산이고운더테라스","월세","84.9819","202412","20","5,000","120","1","2018","상완길 299","202412~202612","신규","-","","","연립다세대"
"73","전남광주통합특별시 서구 화정동","765-1","0765","0001","더브이테라스","전세","59.9337","202412","20","18,024","0","4","2018","화운로126번길 7-6","202502~202609","갱신","사용","17,935","0","연립다세대"
"74","전남광주통합특별시 광산구 송정동","745-1","0745","0001","원일맨션","전세","76.5700","202412","19","8,000","0","2","1984","광산로77번길 23","202501~202701","신규","-","","","연립다세대"
"75","전남광주통합특별시 동구 지산동","394-6","0394","0006","충장맨션","전세","78.9600","202412","19","7,000","0","1","1983","동명로 86","202501~202701","신규","-","","","연립다세대"
"76","전남광주통합특별시 광산구 쌍암동","694-134","0694","0134","금강빌라","월세","19.6000","202412","19","300","35","4","2013","임방울대로826번길 19-39","202412~202512","신규","-","","","연립다세대"
"77","전남광주통합특별시 서구 쌍촌동","1004-10","1004","0010","가도스타디움","월세","16.0712","202412","19","200","33","2","2012","상무대로884번길 17-4","202412~202512","신규","-","","","연립다세대"
"78","전남광주통합특별시 서구 쌍촌동","531-1","0531","0001","가도스타디움(2차)","월세","16.9685","202412","19","200","34","1","2014","화정로49번길 38","202412~202512","신규","-","","","연립다세대"
"79","전남광주통합특별시 동구 지산동","460-7","0460","0007","아이빌","전세","23.9700","202412","19","4,500","0","4","2005","지산로38번길 11-1","202412~202612","갱신","-","4,500","0","연립다세대"
"80","전남광주통합특별시 여수시 주삼동","754","0754","0000","파인빌리지201동","월세","30.1400","202412","18","500","46","1","2021","주삼덕양로 191","202412~202512","신규","-","","","연립다세대"
"81","전남광주통합특별시 동구 소태동","산223","0223","0000","대명","월세","66.2400","202412","18","400","17","1","1989","소태길 22-16","202412~202612","갱신","-","4,000","20","연립다세대"
"82","전남광주통합특별시 광양시 금호동","717","0717","0000","목련연립","월세","54.2700","202412","18","200","35","3","1988","폭포사랑길 91","202501~202701","신규","-","","","연립다세대"
"83","전남광주통합특별시 남구 월산동","1060","1060","0000","월산동이스토리","월세","59.9650","202412","18","8,800","25","3","2016","월산로116번길 20","202501~202701","신규","-","","","연립다세대"
"84","전남광주통합특별시 광산구 쌍암동","694-134","0694","0134","금강빌라","월세","19.6000","202412","17","300","40","4","2013","임방울대로826번길 19-39","202412~202512","신규","-","","","연립다세대"
"85","전남광주통합특별시 장흥군 장흥읍 건산리","488-4","0488","0004","아이지센트럴파크2차","전세","82.0247","202412","17","14,000","0","4","2016","장흥로 39","202412~202612","신규","-","","","연립다세대"
"86","전남광주통합특별시 북구 신안동","211-5","0211","0005","그린한솔빌","월세","19.1450","202412","17","200","39","5","2011","자미로66번길 24","202412~202512","신규","-","","","연립다세대"
"87","전남광주통합특별시 장성군 북이면 사거리","642-5","0642","0005","장원주택","전세","59.6580","202412","16","6,500","0","4","2014","꿀등재길 40-5","202502~202701","신규","-","","","연립다세대"
"88","전남광주통합특별시 여수시 주삼동","754","0754","0000","파인빌리지201동","월세","30.1400","202412","16","500","53","4","2021","주삼덕양로 191","202501~202601","신규","-","","","연립다세대"
